metric,domain,task,a,b,n,mean_a,mean_b,delta_mean,dz,p_raw,p_fdr,p_bonf,sig_fdr_5pct,sig_bonf_5pct,winner
F1_CV,drugs,0,GPT-Schema,Raw-Facts,11,0.8423,0.8405,0.0018,0.033,0.845703,0.934725,1.0,False,False,GPT-Schema
F1_CV,drugs,0,GPT-Free,GPT-Law,11,0.8551,0.8527,0.0023,0.064,0.695312,0.858915,1.0,False,False,GPT-Free
F1_CV,drugs,0,GPT-Free,Raw-Facts,11,0.8551,0.8405,0.0146,0.448,0.25,0.477273,1.0,False,False,GPT-Free
F1_CV,drugs,0,GPT-Law,Raw-Facts,11,0.8527,0.8405,0.0122,0.361,0.322266,0.483398,1.0,False,False,GPT-Law
F1_CV,drugs,1,Manual,Hybrid-Manual,11,0.8353,0.7876,0.0477,1.623,0.000977,0.005127,0.020508,True,True,Manual
F1_CV,drugs,1,Manual,Hybrid-Full,11,0.8353,0.7897,0.0455,0.987,0.019531,0.037287,0.410156,True,False,Manual
F1_CV,drugs,1,Manual,GPT-Schema,11,0.8353,0.8176,0.0177,0.457,0.174805,0.229431,1.0,False,False,Manual
F1_CV,drugs,1,Manual,GPT-Free,11,0.8353,0.7736,0.0616,1.477,0.001953,0.006836,0.041016,True,True,Manual
F1_CV,drugs,1,Manual,GPT-Law,11,0.8353,0.7636,0.0716,2.333,0.000977,0.005127,0.020508,True,True,Manual
F1_CV,drugs,1,Manual,Raw-Facts,11,0.8353,0.7905,0.0448,1.147,0.009766,0.022786,0.205078,True,False,Manual
F1_CV,drugs,1,Hybrid-Manual,Hybrid-Full,11,0.7876,0.7897,-0.0021,-0.061,0.898438,0.898438,1.0,False,False,Hybrid-Full
F1_CV,drugs,1,Hybrid-Manual,GPT-Schema,11,0.7876,0.8176,-0.03,-0.802,0.032227,0.056396,0.676758,False,False,GPT-Schema
F1_CV,drugs,1,Hybrid-Manual,GPT-Free,11,0.7876,0.7736,0.014,0.399,0.320312,0.39568,1.0,False,False,Hybrid-Manual
F1_CV,drugs,1,Hybrid-Manual,GPT-Law,11,0.7876,0.7636,0.024,0.82,0.041992,0.067834,0.881836,False,False,Hybrid-Manual
F1_CV,drugs,1,Hybrid-Manual,Raw-Facts,11,0.7876,0.7905,-0.0029,-0.07,0.898438,0.898438,1.0,False,False,Raw-Facts
F1_CV,drugs,1,Hybrid-Full,GPT-Schema,11,0.7897,0.8176,-0.0278,-0.916,0.019531,0.037287,0.410156,True,False,GPT-Schema
F1_CV,drugs,1,Hybrid-Full,GPT-Free,11,0.7897,0.7736,0.0161,0.445,0.123047,0.18457,1.0,False,False,Hybrid-Full
F1_CV,drugs,1,Hybrid-Full,GPT-Law,11,0.7897,0.7636,0.0261,1.0,0.009766,0.022786,0.205078,True,False,Hybrid-Full
F1_CV,drugs,1,Hybrid-Full,Raw-Facts,11,0.7897,0.7905,-0.0007,-0.021,0.769531,0.850535,1.0,False,False,Raw-Facts
