domain,task,model,rep_a,rep_b,n_pairs,n12_a_right_b_wrong,n21_a_wrong_b_right,mcnemar_p,p_fdr_bh
drugs,binary_0,gpt4,fe_manual_format,manual_fe,13,0,3,0.25,0.69629057187017
drugs,binary_0,gpt4,gpt_free,gpt_law,100,2,4,0.6875,1.0
drugs,binary_0,gpt4,gpt_free,hybrid_full_gpt,100,3,4,1.0,1.0
drugs,binary_0,gpt4,gpt_free,hybrid_gpt,100,4,3,1.0,1.0
drugs,binary_0,gpt4,gpt_free,hybrid_manual_gpt,100,3,5,0.7265625,1.0
drugs,binary_0,gpt4,gpt_free,manual_fe,100,6,7,1.0,1.0
drugs,binary_0,gpt4,gpt_law,hybrid_full_gpt,100,4,3,1.0,1.0
drugs,binary_0,gpt4,gpt_law,hybrid_gpt,100,4,1,0.375,0.8228821591578327
drugs,binary_0,gpt4,gpt_law,hybrid_manual_gpt,100,5,5,1.0,1.0
drugs,binary_0,gpt4,gpt_law,manual_fe,100,6,5,1.0,1.0
drugs,binary_0,gpt4,hybrid_full_gpt,hybrid_gpt,100,6,4,0.75390625,1.0
drugs,binary_0,gpt4,hybrid_full_gpt,hybrid_manual_gpt,100,3,4,1.0,1.0
drugs,binary_0,gpt4,hybrid_full_gpt,manual_fe,100,6,6,1.0,1.0
drugs,binary_0,gpt4,hybrid_gpt,hybrid_manual_gpt,100,3,6,0.5078125,0.9206017354124748
drugs,binary_0,gpt4,hybrid_gpt,manual_fe,100,5,7,0.7744140625,1.0
drugs,binary_0,gpt4,hybrid_manual_gpt,manual_fe,100,5,4,1.0,1.0
drugs,binary_0,gpt51_thinking,facts,fe_gpt_schema,100,3,6,0.5078125,0.9206017354124748
drugs,binary_0,gpt51_thinking,facts,fe_manual_format,100,4,3,1.0,1.0
drugs,binary_0,gpt51_thinking,facts,gpt_free,100,2,2,1.0,1.0
drugs,binary_0,gpt51_thinking,facts,gpt_law,100,2,4,0.6875,1.0
drugs,binary_0,gpt51_thinking,facts,hybrid_full_gpt,100,5,5,1.0,1.0
drugs,binary_0,gpt51_thinking,facts,hybrid_gpt,100,2,3,1.0,1.0
drugs,binary_0,gpt51_thinking,facts,hybrid_manual_gpt,100,2,0,0.5,0.9206017354124748
drugs,binary_0,gpt51_thinking,facts,manual_fe,100,4,7,0.548828125,0.9537013319672131
drugs,binary_0,gpt51_thinking,fe_gpt_schema,fe_manual_format,100,6,2,0.2890625,0.7174801997245179
drugs,binary_0,gpt51_thinking,fe_gpt_schema,gpt_free,100,5,2,0.453125,0.8869833426447995
drugs,binary_0,gpt51_thinking,fe_gpt_schema,gpt_law,100,3,2,1.0,1.0
drugs,binary_0,gpt51_thinking,fe_gpt_schema,hybrid_full_gpt,100,4,1,0.375,0.8228821591578327
drugs,binary_0,gpt51_thinking,fe_gpt_schema,hybrid_gpt,100,5,3,0.7265625,1.0
drugs,binary_0,gpt51_thinking,fe_gpt_schema,hybrid_manual_gpt,100,8,3,0.2265625,0.6736161957346267
drugs,binary_0,gpt51_thinking,fe_gpt_schema,manual_fe,100,4,4,1.0,1.0
drugs,binary_0,gpt51_thinking,fe_manual_format,gpt_free,100,2,3,1.0,1.0
drugs,binary_0,gpt51_thinking,fe_manual_format,gpt_law,100,1,4,0.375,0.8228821591578327
drugs,binary_0,gpt51_thinking,fe_manual_format,hybrid_full_gpt,100,4,5,1.0,1.0
drugs,binary_0,gpt51_thinking,fe_manual_format,hybrid_gpt,100,2,4,0.6875,1.0
drugs,binary_0,gpt51_thinking,fe_manual_format,hybrid_manual_gpt,100,4,3,1.0,1.0
drugs,binary_0,gpt51_thinking,fe_manual_format,manual_fe,100,2,6,0.2890625,0.7174801997245179
drugs,binary_0,gpt51_thinking,gpt_free,gpt_law,100,3,5,0.7265625,1.0
drugs,binary_0,gpt51_thinking,gpt_free,hybrid_full_gpt,100,4,4,1.0,1.0
drugs,binary_0,gpt51_thinking,gpt_free,hybrid_gpt,100,2,3,1.0,1.0
drugs,binary_0,gpt51_thinking,gpt_free,hybrid_manual_gpt,100,3,1,0.625,1.0
drugs,binary_0,gpt51_thinking,gpt_free,manual_fe,100,3,6,0.5078125,0.9206017354124748
drugs,binary_0,gpt51_thinking,gpt_law,hybrid_full_gpt,100,4,2,0.6875,1.0
drugs,binary_0,gpt51_thinking,gpt_law,hybrid_gpt,100,3,2,1.0,1.0
drugs,binary_0,gpt51_thinking,gpt_law,hybrid_manual_gpt,100,6,2,0.2890625,0.7174801997245179
drugs,binary_0,gpt51_thinking,gpt_law,manual_fe,100,4,5,1.0,1.0
drugs,binary_0,gpt51_thinking,hybrid_full_gpt,hybrid_gpt,100,3,4,1.0,1.0
drugs,binary_0,gpt51_thinking,hybrid_full_gpt,hybrid_manual_gpt,100,7,5,0.7744140625,1.0
drugs,binary_0,gpt51_thinking,hybrid_full_gpt,manual_fe,100,4,7,0.548828125,0.9537013319672131
drugs,binary_0,gpt51_thinking,hybrid_gpt,hybrid_manual_gpt,100,5,2,0.453125,0.8869833426447995
drugs,binary_0,gpt51_thinking,hybrid_gpt,manual_fe,100,5,7,0.7744140625,1.0
drugs,binary_0,gpt51_thinking,hybrid_manual_gpt,manual_fe,100,3,8,0.2265625,0.6736161957346267
drugs,binary_0,gpt52,facts,fe_gpt_schema,100,0,4,0.125,0.5350356294536817
drugs,binary_0,gpt52,facts,fe_manual_format,100,0,4,0.125,0.5350356294536817
drugs,binary_0,gpt52,facts,gpt_free,100,3,5,0.7265625,1.0
drugs,binary_0,gpt52,facts,gpt_law,100,2,6,0.2890625,0.7174801997245179
drugs,binary_0,gpt52,facts,hybrid_full_gpt,100,3,7,0.34375,0.7928074853190658
drugs,binary_0,gpt52,facts,hybrid_gpt,100,4,6,0.75390625,1.0
drugs,binary_0,gpt52,facts,hybrid_manual_gpt,100,3,9,0.14599609375,0.5621473524305556
drugs,binary_0,gpt52,facts,manual_fe,100,3,9,0.14599609375,0.5621473524305556
drugs,binary_0,gpt52,fe_gpt_schema,fe_manual_format,100,4,4,1.0,1.0
drugs,binary_0,gpt52,fe_gpt_schema,gpt_free,100,5,3,0.7265625,1.0
drugs,binary_0,gpt52,fe_gpt_schema,gpt_law,100,4,4,1.0,1.0
drugs,binary_0,gpt52,fe_gpt_schema,hybrid_full_gpt,100,3,3,1.0,1.0
drugs,binary_0,gpt52,fe_gpt_schema,hybrid_gpt,100,6,4,0.75390625,1.0
drugs,binary_0,gpt52,fe_gpt_schema,hybrid_manual_gpt,100,4,6,0.75390625,1.0
drugs,binary_0,gpt52,fe_gpt_schema,manual_fe,100,5,7,0.7744140625,1.0
drugs,binary_0,gpt52,fe_manual_format,gpt_free,100,5,3,0.7265625,1.0
drugs,binary_0,gpt52,fe_manual_format,gpt_law,100,3,3,1.0,1.0
drugs,binary_0,gpt52,fe_manual_format,hybrid_full_gpt,100,5,5,1.0,1.0
drugs,binary_0,gpt52,fe_manual_format,hybrid_gpt,100,5,3,0.7265625,1.0
drugs,binary_0,gpt52,fe_manual_format,hybrid_manual_gpt,100,4,6,0.75390625,1.0
drugs,binary_0,gpt52,fe_manual_format,manual_fe,100,5,7,0.7744140625,1.0
drugs,binary_0,gpt52,gpt_free,gpt_law,100,0,2,0.5,0.9206017354124748
drugs,binary_0,gpt52,gpt_free,hybrid_full_gpt,100,2,4,0.6875,1.0
drugs,binary_0,gpt52,gpt_free,hybrid_gpt,100,1,1,1.0,1.0
