domain,rep,model,metric,n,observed,baseline_mean,baseline_std,baseline_ci_lo,baseline_ci_hi,improvement,p_value,significantly_better,n_shuffles
weapon,Raw-Facts,gpt5mini,QWK_CV,141,0.5241844769403825,0.003171285407505966,0.08091709600725808,-0.15829839451886696,0.16852438899682998,0.5210131915328765,0.0,True,1000
weapon,Raw-Facts,gpt52,F1_Oracle_b0,141,0.7727272727272727,0.3153636363636364,0.05630110516270276,0.20454545454545456,0.4318181818181818,0.4573636363636363,0.0,True,1000
weapon,Raw-Facts,gpt52,F1_Oracle_b1,141,0.8055555555555556,0.5061111111111112,0.03979259648081918,0.4305555555555556,0.5833333333333334,0.2994444444444444,0.0,True,1000
weapon,Raw-Facts,gpt52,F1_CV_b0,141,0.7586206896551724,0.31096551724137933,0.056531714609367956,0.20689655172413793,0.4143678160919535,0.44765517241379305,0.0,True,1000
weapon,Raw-Facts,gpt52,F1_CV_b1,141,0.7887323943661971,0.5003380281690141,0.04071806817049347,0.4225352112676056,0.5774647887323944,0.28839436619718306,0.0,True,1000
weapon,Raw-Facts,gpt52,AP_b0,141,0.7995871970963272,0.34228670644309295,0.03622516194818452,0.28444227440279884,0.42535751340083683,0.45730049065323425,0.0,True,1000
weapon,Raw-Facts,gpt52,AP_b1,141,0.8748278686539472,0.47337205733121707,0.037644752296929276,0.40562666523287266,0.5516497346399575,0.40145581132273017,0.0,True,1000
weapon,Raw-Facts,gpt52,QWK_Oracle,141,0.7241244374877716,0.0017810604578360643,0.0842378762471988,-0.16787321463510074,0.16317746037957348,0.7223433770299355,0.0,True,1000
weapon,Raw-Facts,gpt52,QWK_CV,141,0.6757999616784824,0.001535926422686338,0.08574608200898877,-0.16171680398543775,0.1714887909561219,0.6742640352557961,0.0,True,1000
weapon,Raw-Facts,gpt51_thinking,F1_Oracle_b0,141,0.7368421052631579,0.34073684210526317,0.05477547035586936,0.2521052631578948,0.4631578947368421,0.3961052631578947,0.0,True,1000
weapon,Raw-Facts,gpt51_thinking,F1_Oracle_b1,141,0.8137931034482758,0.5087172413793103,0.04002019583975646,0.42758620689655175,0.5793103448275863,0.30507586206896553,0.0,True,1000
weapon,Raw-Facts,gpt51_thinking,F1_CV_b0,141,0.693069306930693,0.3601782178217823,0.0541313551296876,0.25742574257425743,0.4752475247524752,0.33289108910891074,0.0,True,1000
weapon,Raw-Facts,gpt51_thinking,F1_CV_b1,141,0.8137931034482758,0.5087172413793103,0.04002019583975646,0.42758620689655175,0.5793103448275863,0.30507586206896553,0.0,True,1000
weapon,Raw-Facts,gpt51_thinking,AP_b0,141,0.7243205848215597,0.34424778441140885,0.038505006462510885,0.2824496667251867,0.42877890506780025,0.38007280041015085,0.0,True,1000
weapon,Raw-Facts,gpt51_thinking,AP_b1,141,0.8483316320914294,0.4751953833033556,0.038740918324900106,0.4074534504111561,0.5606555465409905,0.3731362487880738,0.0,True,1000
weapon,Raw-Facts,gpt51_thinking,QWK_Oracle,141,0.6914853713428357,0.002942423105776515,0.0813226744019156,-0.1547261815453862,0.16260315078769694,0.6885429482370592,0.0,True,1000
weapon,Raw-Facts,gpt51_thinking,QWK_CV,141,0.6786324786324787,0.0027787274453941117,0.0810117064871684,-0.1517901234567901,0.16087369420702757,0.6758537511870846,0.0,True,1000
weapon,Raw-Facts,gemma3_27b,F1_Oracle_b0,141,0.7706422018348624,0.3802385321100918,0.050981416085923714,0.27522935779816515,0.4954128440366973,0.39040366972477064,0.0,True,1000
weapon,Raw-Facts,gemma3_27b,F1_Oracle_b1,141,0.8181818181818182,0.4689545454545454,0.04480173224040188,0.3787878787878788,0.5606060606060606,0.34922727272727283,0.0,True,1000
weapon,Raw-Facts,gemma3_27b,F1_CV_b0,141,0.7706422018348624,0.3802385321100918,0.050981416085923714,0.27522935779816515,0.4954128440366973,0.39040366972477064,0.0,True,1000
weapon,Raw-Facts,gemma3_27b,F1_CV_b1,141,0.8181818181818182,0.4689545454545454,0.04480173224040188,0.3787878787878788,0.5606060606060606,0.34922727272727283,0.0,True,1000
weapon,Raw-Facts,gemma3_27b,AP_b0,141,0.7249121241617996,0.3400567584471536,0.0324516343098688,0.28565732258048876,0.4103367916297549,0.384855365714646,0.0,True,1000
weapon,Raw-Facts,gemma3_27b,AP_b1,141,0.8137017465999028,0.47135438656699824,0.03303497488781007,0.4130472301209794,0.5441831307427091,0.34234736003290456,0.0,True,1000
weapon,Raw-Facts,gemma3_27b,QWK_Oracle,141,0.689366686187568,0.000893164895842085,0.0832989977397354,-0.15995984271730945,0.17033380741236515,0.6884735212917259,0.0,True,1000
weapon,Raw-Facts,gemma3_27b,QWK_CV,141,0.689366686187568,0.000893164895842085,0.0832989977397354,-0.15995984271730945,0.17033380741236515,0.6884735212917259,0.0,True,1000
weapon,Raw-Facts,gemini_3_flash,F1_Oracle_b0,141,0.7722772277227723,0.3591683168316832,0.054014039631965605,0.25742574257425743,0.4752475247524752,0.4131089108910891,0.0,True,1000
weapon,Raw-Facts,gemini_3_flash,F1_Oracle_b1,141,0.816,0.44408000000000014,0.046459014626227715,0.352,0.5283999999999996,0.3719199999999998,0.0,True,1000
