domain,rep,model,QWK_Oracle,QWK_CV,C_index,Spearman,Ordinal_AUC
drugs,Raw-Facts,qwen3_vl_235b_or,0.7861271676300579,0.7359154929577465,0.8732231404958678,0.7296650521087181,0.9023978021978023
drugs,Raw-Facts,qwen3_235b_or,0.7892938496583144,0.778683750728014,0.8775206611570248,0.7353787297654022,0.9048999999999999
drugs,Raw-Facts,mistral_large_or,0.751271905031091,0.751271905031091,0.8662809917355372,0.722462214442458,0.8986527472527472
drugs,Raw-Facts,deepseek_r1_or,0.7764114030184461,0.7633802816901408,0.8619834710743801,0.7073498595357538,0.8936604395604396
drugs,Hybrid-Manual,gpt4,0.8260309278350515,0.7723187537447573,0.9145454545454546,0.7881006143368533,0.9365681318681318
drugs,Hybrid-Manual,gpt5mini,0.8140111593304402,0.7342398022249691,0.9130578512396694,0.7896691984027838,0.9381857142857142
drugs,Hybrid-Manual,gpt52,0.8070175438596492,0.7518159806295399,0.9082644628099174,0.7836337813546158,0.935056043956044
drugs,Hybrid-Manual,gpt51_thinking,0.8225901833234772,0.7784431137724551,0.9019834710743801,0.771400997808559,0.9288868131868131
drugs,Hybrid-Manual,claude_sonnet_4_6,0.8114393463230672,0.7376267143709003,0.9181818181818182,0.7997880164923561,0.9436703296703297
drugs,Hybrid-Manual,gemini_25_pro,0.7986974541148608,0.7455176402544823,0.8889256198347107,0.7682833710820847,0.9221527472527473
drugs,Hybrid-Manual,gemini_3_flash,0.8211091234347048,0.7972570065593321,0.8930578512396694,0.7611710618604082,0.9234395604395604
drugs,Hybrid-Manual,gemma3_27b,0.7788203753351206,0.7204161248374512,0.8998347107438016,0.7774049983875804,0.926678021978022
drugs,Hybrid-Manual,gemma4_31b_or,0.8302107728337237,0.8134110787172012,0.9171900826446281,0.7975259661854881,0.9393461538461538
drugs,Hybrid-Manual,llama3_70b,0.7684887459807074,0.69375,0.8638016528925619,0.713681638064124,0.8989934065934067
drugs,Hybrid-Manual,qwen3_vl_235b_or,0.7684085510688836,0.710509754562618,0.8915702479338843,0.7531922267145019,0.9159560439560439
drugs,Hybrid-Manual,qwen3_235b_or,0.8260381593714927,0.8260381593714927,0.908099173553719,0.7835501205010684,0.9318692307692307
drugs,Hybrid-Manual,mistral_large_or,0.7585394581861014,0.718562874251497,0.889090909090909,0.7577038502943546,0.9177945054945055
drugs,Hybrid-Manual,deepseek_r1_or,0.8278829604130808,0.806338028169014,0.9051239669421488,0.7768216880549174,0.9320043956043956
drugs,Hybrid-Full,gpt4,0.8323085522638345,0.8260381593714927,0.8909090909090909,0.7580348923756505,0.9214098901098902
drugs,Hybrid-Full,gpt5mini,0.8016119032858029,0.7422062350119905,0.891900826446281,0.7532259798482417,0.9194703296703297
drugs,Hybrid-Full,gpt52,0.7749391727493917,0.6768178993163455,0.8877685950413223,0.7492478054196625,0.9187175824175824
drugs,Hybrid-Full,gpt51_thinking,0.8128509045539614,0.7611940298507462,0.8928925619834711,0.7571605866973288,0.9215791208791209
drugs,Hybrid-Full,claude_sonnet_4_6,0.8299939283545841,0.7700471698113207,0.9028099173553719,0.7761208046197515,0.9324010989010989
drugs,Hybrid-Full,gemini_25_pro,0.8136284216656959,0.806338028169014,0.8811570247933884,0.7508978434077848,0.9111868131868132
drugs,Hybrid-Full,gemini_3_flash,0.7830248883216337,0.7151515151515151,0.8975206611570248,0.7656480730439463,0.9260879120879121
drugs,Hybrid-Full,gemma3_27b,0.8065650644783119,0.8065650644783119,0.8955371900826447,0.7748265554861566,0.9262153846153847
drugs,Hybrid-Full,gemma4_31b_or,0.8074534161490683,0.7644927536231884,0.9061157024793388,0.7750682438643484,0.9294670329670329
drugs,Hybrid-Full,llama3_70b,0.8116539140670983,0.8116539140670983,0.8798347107438017,0.7509466428409314,0.9178351648351648
drugs,Hybrid-Full,qwen3_vl_235b_or,0.8156115550092194,0.7553699284009547,0.9100826446280992,0.7854358877861799,0.933445054945055
