domain,task,rep,model,n,pos,AP,AUC,best_F1,precision,recall,accuracy,best_thr
drugs,strict,Law,gpt51_thinking,100,35,0.9027,0.9354,0.8824,0.9091,0.8571,0.92,72.0
drugs,strict,Law,gpt52,100,35,0.9076,0.9374,0.8767,0.8421,0.9143,0.91,62.0
drugs,strict,Law,gpt5mini,100,35,0.9145,0.9332,0.8889,0.8649,0.9143,0.92,70.0
drugs,strict,Law,llama3_70b,100,35,0.8747,0.9031,0.806,0.8438,0.7714,0.87,68.0
drugs,strict,Law,qwen3_vl_235b_or,100,35,0.8829,0.9299,0.8611,0.8378,0.8857,0.9,65.0
weapon,lenient,manual_fe,claude_sonnet_4_6,141,62,0.8957,0.9311,0.8397,0.7971,0.8871,0.8511,38.0
weapon,lenient,manual_fe,gemini_25_pro,141,62,0.8404,0.9017,0.8252,0.7284,0.9516,0.8227,20.0
weapon,lenient,manual_fe,gemini_3_flash,141,62,0.9047,0.9321,0.8595,0.8814,0.8387,0.8794,62.0
weapon,lenient,manual_fe,gemma3_27b,141,62,0.7891,0.8749,0.7922,0.663,0.9839,0.773,40.0
weapon,lenient,manual_fe,gemma4_31b_or,141,62,0.8729,0.9276,0.8455,0.8525,0.8387,0.8652,40.0
weapon,lenient,manual_fe,gpt4,141,62,0.8998,0.9212,0.8226,0.8226,0.8226,0.844,55.0
weapon,lenient,manual_fe,gpt51_thinking,141,62,0.8918,0.9271,0.8448,0.9074,0.7903,0.8723,62.0
weapon,lenient,manual_fe,gpt52,141,62,0.8941,0.9231,0.8254,0.8125,0.8387,0.844,56.0
weapon,lenient,manual_fe,gpt5mini,141,62,0.8982,0.9379,0.855,0.8116,0.9032,0.8652,47.0
weapon,lenient,manual_fe,llama3_70b,141,62,0.7772,0.8531,0.7971,0.7237,0.8871,0.8014,50.0
weapon,lenient,manual_fe,qwen3_vl_235b_or,141,62,0.8391,0.8991,0.8031,0.7846,0.8226,0.8227,45.0
