verdict,variant,err_low,err_high
תפ_30278-05-12,baseline (median),9.0,6.0
תפ_18011-01-20,baseline (median),99.0,144.0
תפ_15458-12-19,baseline (median),9.0,12.0
תפ_1463-04-19,baseline (median),9.0,14.0
תפ_55179-03-18,baseline (median),3.0,6.0
תפ_15919-12-12,baseline (median),15.0,28.0
תפ_33691-04-12,baseline (median),39.0,60.0
תפ_33331-03-19,baseline (median),7.0,16.0
תפ_23659-04-22,baseline (median),3.0,4.0
תפ_41174-02-18,baseline (median),0.0,0.0
תפ_21477-06-19,baseline (median),51.0,72.0
תפ_16006-05-14,baseline (median),9.0,13.0
תפ_38631-06-20,baseline (median),3.0,12.0
תפ_43911-02-21,baseline (median),9.0,12.0
תפ_33630-06-13,baseline (median),3.0,0.0
תפ_19705-09-23,baseline (median),1.0,2.0
עפ_8988-16,baseline (median),19.0,24.0
תפ_42673-04-12,baseline (median),9.0,12.0
תפ_26801-07-13,baseline (median),27.0,60.0
תפ_63255-11-16,baseline (median),27.0,48.0
תפ_35265-10-12,baseline (median),6.0,16.0
תפ_51649-06-24,baseline (median),3.0,0.0
תפ_57177-05-22,baseline (median),27.0,72.0
תפ_48974-11-20,baseline (median),5.0,14.0
תפ_42397-03-12,baseline (median),1.0,0.0
תפ_25154-10-16,baseline (median),3.0,0.0
תפ_68454-05-18,baseline (median),9.0,6.0
תפח_5000-08-14,baseline (median),63.0,96.0
תפ_35104-12-21,baseline (median),3.0,0.0
תפ_45446-11-15,baseline (median),15.0,36.0
תפ_737-10-13,baseline (median),51.0,66.0
תפ_33439-01-21,baseline (median),11.0,16.0
תפ_53725-11-14,baseline (median),1.0,0.0
תפ_2730-11-15,baseline (median),8.0,15.0
תפ_59811-06-20,baseline (median),5.0,0.0
תפ_24494-06-21,baseline (median),1.0,4.0
תפ_32991-05-19,baseline (median),3.0,0.0
תפ_60380-03-22,baseline (median),31.0,36.0
תפ_18933-02-24,baseline (median),2.0,0.0
תפ_15638-01-19,baseline (median),9.0,12.0
תפ_21584-01-23,baseline (median),1.0,4.0
תפ_43982-06-17,baseline (median),9.0,12.0
תפ_5778-09-20,baseline (median),18.0,30.0
תפ_58723-03-16,baseline (median),3.0,6.0
תפ_1990-11-22,baseline (median),39.0,54.0
תפ_52982-03-16,baseline (median),21.0,36.0
תפ_9561-03-21,baseline (median),1.0,4.0
תפ_10393-03-21,baseline (median),9.0,12.0
תפ_28107-06-20,baseline (median),6.0,6.0
תפ_30401-06-20,baseline (median),3.0,0.0
תפ_40305-08-13,baseline (median),8.0,14.0
תפ_11017-08-14,baseline (median),21.0,36.0
תפ_26688-12-20,baseline (median),3.0,6.0
תפ_16240-11-11,baseline (median),3.0,6.0
תפ_27417-07-23,baseline (median),21.0,36.0
תפ_41247-05-19,baseline (median),0.0,0.0
תפ_17098-06-12,baseline (median),27.0,48.0
תפ_47284-03-19,baseline (median),9.0,12.0
תפ_27544-05-22,baseline (median),9.0,30.0
תפ_66974-11-17,baseline (median),5.0,2.0
תפ_62333-01-23,baseline (median),6.0,15.0
תפ_53788-02-16,baseline (median),9.0,16.0
תפ_20414-08-12,baseline (median),1.0,6.0
תפ_1276-05-15,baseline (median),4.0,8.0
תפ_25458-11-18,baseline (median),13.0,22.0
תפ_39668-07-14,baseline (median),3.0,12.0
תפ_48527-07-15,baseline (median),1.0,6.0
תפ_53375-03-18,baseline (median),3.0,0.0
תפ_30643-03-18,baseline (median),7.0,14.0
תפ_27617-12-10,baseline (median),3.0,12.0
תפ_28234-05-21,baseline (median),27.0,36.0
תפ_35893-03-20,baseline (median),3.0,6.0
תפ_37567-12-14,baseline (median),3.0,6.0
תפ_20652-08-24,baseline (median),9.0,8.0
תפ_29790-07-15,baseline (median),3.0,6.0
תפ_31103-09-17,baseline (median),15.0,26.0
תפ_34094-12-13,baseline (median),9.0,12.0
תפ_33197-04-22,baseline (median),2.0,0.0
תפ_22537-01-18,baseline (median),39.0,60.0
תפ_17153-07-18,baseline (median),3.0,6.0
תפ_1873-07-21,baseline (median),9.0,9.0
תפ_10901-10-17,baseline (median),3.0,8.0
תפ_37474-03-20,baseline (median),36.0,51.0
תפ_29899-12-18,baseline (median),5.0,12.0
תפ_63172-11-20,baseline (median),0.0,6.0
תפ_42543-06-14,baseline (median),8.0,9.0
תפ_54648-02-17,baseline (median),21.0,36.0
תפ_20201-11-14,baseline (median),3.0,0.0
תפ_4164-01-13,baseline (median),9.0,12.0
תפ_8642-08-18,baseline (median),3.0,8.0
תפ_22021-09-22,baseline (median),9.0,6.0
תפ_3234-05-13,baseline (median),21.0,24.0
תפ_65260-11-15,baseline (median),3.0,12.0
תפ_53910-06-12,baseline (median),3.0,6.0
תפ_16603-06-16,baseline (median),6.0,12.0
תפ_2802-11-19,baseline (median),21.0,28.0
תפ_68578-11-16,baseline (median),1.0,6.0
תפ_49210-05-22,baseline (median),1.0,4.0
תפ_61202-03-22,baseline (median),9.0,12.0
תפ_7629-11-17,baseline (median),15.0,24.0
תפ_375-02-19,baseline (median),3.0,4.0
תפ_32765-09-20,baseline (median),1.0,0.0
תפ_18320-05-19,baseline (median),3.0,12.0
תפ_27917-03-16,baseline (median),0.0,4.0
תפ_35481-05-14,baseline (median),9.0,12.0
תפ_27553-06-22,baseline (median),6.0,12.0
תפ_18820-07-15,baseline (median),1.0,0.0
תפ_62092-06-16,baseline (median),2.0,6.0
תפ_34445-11-15,baseline (median),3.0,0.0
תפ_12143-06-20,baseline (median),27.0,36.0
תפ_3673-04-18,baseline (median),9.0,6.0
תפ_31602-06-20,baseline (median),3.0,6.0
תפ_46894-03-19,baseline (median),5.0,6.0
תפ_28292-09-20,baseline (median),1.0,0.0
תפ_57599-11-15,baseline (median),6.0,6.0
תפ_8588-09-18,baseline (median),3.0,4.0
תפ_63404-02-24,baseline (median),9.0,8.0
תפ_48152-02-20,baseline (median),0.0,6.0
תפ_42879-09-21,baseline (median),2.0,6.0
תפ_15616-09-14,baseline (median),0.0,12.0
תפ_19393-03-17,baseline (median),1.0,6.0
תפ_64418-09-16,baseline (median),9.0,14.0
תפ_34255-01-24,baseline (median),11.0,6.0
תפ_12550-01-15,baseline (median),1.0,0.0
תפ_22804-10-19,baseline (median),1.0,0.0
תפ_47156-02-14,baseline (median),8.0,12.0
תפ_3667-07-15,baseline (median),21.0,26.0
תפ_21086-11-21,baseline (median),21.0,30.0
תפ_12012-07-24,baseline (median),3.0,0.0
תפ_8203-05-23,baseline (median),15.0,36.0
תפ_67234-06-20,baseline (median),1.0,0.0
תפ_30169-09-16,baseline (median),1.0,0.0
תפ_1390-09-20,baseline (median),6.0,15.0
תפ_10095-08-22,baseline (median),3.0,12.0
תפ_33839-04-18,baseline (median),1.0,4.0
תפ_30849-07-19,baseline (median),6.0,0.0
תפ_31690-01-13,baseline (median),0.0,6.0
תפ_65963-10-21,baseline (median),15.0,24.0
תפ_11217-09-21,baseline (median),9.0,12.0
תפ_55217-12-19,baseline (median),4.0,12.0
תפ_37606-11-22,baseline (median),9.0,24.0
תפ_51504-02-20,baseline (median),3.0,12.0
תפ_50631-06-23,baseline (median),11.0,18.0
תפ_56694-07-20,baseline (median),3.0,4.0
תפ_6749-09-22,baseline (median),3.0,0.0
תפ_15587-10-21,baseline (median),1.0,0.0
תפ_28420-12-14,baseline (median),1.0,9.0
תפ_15054-05-15,baseline (median),15.0,36.0
תפ_18828-06-20,baseline (median),3.0,4.0
תפ_37850-05-17,baseline (median),3.0,12.0
תפ_26647-05-17,baseline (median),1.0,6.0
תפ_22402-11-18,baseline (median),3.0,4.0
תפ_3675-07-15,baseline (median),5.0,12.0
תפ_4460-04-18,baseline (median),11.0,22.0
תפ_23198-07-17,baseline (median),1.0,0.0
תפ_67160-08-21,baseline (median),0.0,0.0
תפ_26963-10-18,baseline (median),6.0,6.0
תפ_56691-03-21,baseline (median),2.0,3.0
תפ_52587-01-13,baseline (median),6.0,16.0
תפ_25529-12-12,baseline (median),11.0,16.0
תפ_26718-06-14,baseline (median),8.0,12.0
תפ_33240-05-23,baseline (median),4.0,9.0
תפ_67646-05-24,baseline (median),3.0,0.0
תפ_55185-05-20,baseline (median),6.0,8.0
תפ_2125-05-20,baseline (median),9.0,14.0
תפ_52282-01-22,baseline (median),1.0,0.0
תפ_13236-03-18,baseline (median),3.0,12.0
תפ_79589-07-24,baseline (median),1.0,0.0
תפ_43773-03-14,baseline (median),9.0,24.0
תפ_46701-08-22,baseline (median),15.0,28.0
תפ_23642-03-17,baseline (median),51.0,72.0
תפ_56936-07-24,baseline (median),1.0,6.0
תפ_33541-02-20,baseline (median),15.0,24.0
תפ_27495-05-20,baseline (median),9.0,12.0
תפ_67911-11-22,baseline (median),0.0,0.0
תפ_42734-08-23,baseline (median),31.0,46.0
תפ_17021-03-13,baseline (median),1.0,4.0
תפ_65292-07-23,baseline (median),0.0,2.0
תפ_6800-09-13,baseline (median),3.0,6.0
תפ_4730-11-21,baseline (median),18.0,30.0
תפ_46173-08-15,baseline (median),3.0,6.0
תפ_6660-07-15,baseline (median),5.0,10.0
תפ_59165-12-19,baseline (median),3.0,0.0
תפ_37825-05-15,baseline (median),7.0,12.0
תפ_53035-03-23,baseline (median),15.0,24.0
תפ_38616-11-22,baseline (median),3.0,6.0
תפ_36775-09-19,baseline (median),6.0,6.0
תפ_53503-07-17,baseline (median),1.0,1.0
תפ_44404-01-16,baseline (median),21.0,36.0
תפ_57884-02-15,baseline (median),3.0,12.0
תפ_15989-04-19,baseline (median),8.0,16.0
תפ_19975-03-16,baseline (median),3.0,6.0
תפ_45791-03-13,baseline (median),3.0,12.0
תפ_13534-04-17,baseline (median),9.0,16.0
תפ_38366-02-17,baseline (median),1.0,0.0
תפ_12111-12-12,baseline (median),3.0,6.0
תפ_1245-01-22,baseline (median),1.0,0.0
תפ_44129-09-19,baseline (median),15.0,36.0
תפ_6681-09-21,baseline (median),27.0,48.0
תפ_3526-04-21,baseline (median),5.0,12.0
תפ_67473-10-21,baseline (median),1.0,6.0
תפ_37958-02-19,baseline (median),15.0,16.0
תפ_43665-08-21,baseline (median),11.0,16.0
תפ_53884-05-21,baseline (median),7.0,12.0
תפ_41959-02-13,baseline (median),1.0,4.0
תפ_39214-12-15,baseline (median),6.0,6.0
תפ_30580-02-21,baseline (median),111.0,156.0
תפ_27373-07-20,baseline (median),0.0,6.0
תפ_61816-07-23,baseline (median),3.0,6.0
תפ_58372-12-14,baseline (median),9.0,14.0
תפ_67471-06-18,baseline (median),0.0,6.0
תפ_55809-11-18,baseline (median),3.0,12.0
תפ_48071-01-23,baseline (median),6.0,6.0
תפ_4719-02-23,baseline (median),1.0,6.0
תפ_63029-12-20,baseline (median),3.0,6.0
תפ_46909-11-17,baseline (median),8.0,14.0
תפ_40097-07-20,baseline (median),11.0,18.0
תפ_29707-03-22,baseline (median),38.0,46.0
תפ_65985-03-17,baseline (median),1.0,6.0
תפ_43778-07-16,baseline (median),1.0,0.0
תפ_3503-09-20,baseline (median),3.0,0.0
תפ_66475-11-16,baseline (median),4.0,12.0
תפ_51520-05-19,baseline (median),8.0,16.0
תפ_7906-06-15,baseline (median),6.0,6.0
תפ_26685-05-13,baseline (median),9.0,12.0
תפ_60295-03-22,baseline (median),31.0,36.0
תפ_10931-04-24,baseline (median),1.0,6.0
תפ_66147-10-13,baseline (median),9.0,12.0
תפ_59258-01-16,baseline (median),15.0,24.0
תפ_6336-02-15,baseline (median),15.0,30.0
תפ_33338-02-20,baseline (median),5.0,12.0
תפ_62242-01-23,baseline (median),0.0,4.0
תפ_11592-05-19,baseline (median),3.0,12.0
תפ_8444-04-23,baseline (median),6.0,6.0
תפ_49625-04-17,baseline (median),21.0,36.0
תפ_3859-05-15,baseline (median),1.0,0.0
תפ_35686-08-21,baseline (median),24.0,12.0
תפ_47640-06-18,baseline (median),1.0,0.0
תפ_45644-11-22,baseline (median),7.0,12.0
תפ_5911-11-16,baseline (median),3.0,12.0
תפ_32243-08-21,baseline (median),10.0,19.0
תפ_49055-02-18,baseline (median),1.0,6.0
תפ_4435-07-19,baseline (median),5.0,12.0
תפ_54487-02-16,baseline (median),1.0,4.0
תפ_37340-06-12,baseline (median),9.0,12.0
תפ_8483-03-16,baseline (median),9.0,18.0
תפ_49856-07-11,baseline (median),3.0,8.0
תפ_13704-12-23,baseline (median),0.0,6.0
תפ_33658-01-18,baseline (median),3.0,0.0
תפ_15812-03-15,baseline (median),9.0,12.0
תפ_4258-07-15,baseline (median),9.0,12.0
תפ_25792-04-11,baseline (median),7.0,14.0
תפ_24278-11-22,baseline (median),1.0,6.0
תפ_12042-08-13,baseline (median),3.0,9.0
תפ_30377-04-18,baseline (median),3.0,9.0
תפ_68166-11-21,baseline (median),1.0,4.0
תפ_9160-02-15,baseline (median),36.0,61.0
תפ_40484-05-16,baseline (median),3.0,0.0
תפ_37166-02-20,baseline (median),3.0,0.0
תפ_42761-01-18,baseline (median),57.0,78.0
תפ_28435-02-22,baseline (median),4.0,12.0
תפ_57185-01-24,baseline (median),3.0,4.0
תפ_71059-03-19,baseline (median),9.0,12.0
תפ_32895-05-22,baseline (median),3.0,6.0
תפ_10229-09-20,baseline (median),4.0,6.0
תפ_36887-07-17,baseline (median),9.0,16.0
תפ_10580-03-16,baseline (median),3.0,12.0
תפ_62794-11-21,baseline (median),3.0,12.0
תפ_5672-11-18,baseline (median),0.0,0.0
תפ_9210-02-20,baseline (median),3.0,6.0
תפ_48535-10-12,baseline (median),5.0,6.0
תפ_41950-02-19,baseline (median),2.0,0.0
עפג_31724-10-13,baseline (median),3.0,6.0
תפ_34787-05-20,baseline (median),17.0,24.0
תפ_69400-07-20,baseline (median),1.0,0.0
תפ_36868-09-18,baseline (median),3.0,6.0
תפ_1581-07-15,baseline (median),9.0,12.0
תפ_9620-04-14,baseline (median),8.0,6.0
תפ_61248-02-24,baseline (median),3.0,0.0
