domain,rep_a,rep_b,metric,n_models,mean_a,mean_b,diff_a_minus_b,wilcoxon_W,p_value,p_fdr_bh,sig_005
drugs,hybrid_manual_gpt,manual_fe,QWK_scale,8,0.7455669961159723,0.7773723916596256,-0.03180539554365325,5.0,0.078125,0.13671875,False
weapon,facts,fe_gpt_schema,QWK_scale,8,0.624290076251464,0.47010177981100004,0.154188296440464,0.0,0.0078125,0.0205078125,True
weapon,facts,gpt_free,QWK_scale,8,0.624290076251464,0.5363532584525557,0.08793681779890838,0.0,0.0078125,0.0205078125,True
weapon,facts,gpt_law,QWK_scale,8,0.624290076251464,0.5970079074236287,0.027282168827835296,8.0,0.1953125,0.24126838235294118,False
weapon,facts,hybrid_full_gpt,QWK_scale,8,0.624290076251464,0.6166691698622018,0.007620906389262272,17.0,0.9453125,0.9453125,False
weapon,facts,hybrid_manual_gpt,QWK_scale,8,0.624290076251464,0.5806175360534467,0.04367254019801736,7.0,0.1484375,0.19482421875,False
weapon,facts,manual_fe,QWK_scale,8,0.624290076251464,0.6460998145278989,-0.021809738276434842,13.0,0.546875,0.57421875,False
weapon,fe_gpt_schema,gpt_free,QWK_scale,8,0.47010177981100004,0.5363532584525557,-0.06625147864155562,3.0,0.0390625,0.07457386363636363,False
weapon,fe_gpt_schema,gpt_law,QWK_scale,8,0.47010177981100004,0.5970079074236287,-0.1269061276126287,0.0,0.0078125,0.0205078125,True
weapon,fe_gpt_schema,hybrid_full_gpt,QWK_scale,8,0.47010177981100004,0.6166691698622018,-0.14656739005120173,0.0,0.0078125,0.0205078125,True
weapon,fe_gpt_schema,hybrid_manual_gpt,QWK_scale,8,0.47010177981100004,0.5806175360534467,-0.11051575624244664,0.0,0.0078125,0.0205078125,True
weapon,fe_gpt_schema,manual_fe,QWK_scale,8,0.47010177981100004,0.6460998145278989,-0.17599803471689884,0.0,0.0078125,0.0205078125,True
weapon,gpt_free,gpt_law,QWK_scale,8,0.5363532584525557,0.5970079074236287,-0.06065464897107309,3.0,0.0390625,0.07457386363636363,False
weapon,gpt_free,hybrid_full_gpt,QWK_scale,8,0.5363532584525557,0.6166691698622018,-0.08031591140964611,3.0,0.0390625,0.07457386363636363,False
weapon,gpt_free,hybrid_manual_gpt,QWK_scale,8,0.5363532584525557,0.5806175360534467,-0.04426427760089102,6.0,0.109375,0.15312499999999998,False
weapon,gpt_free,manual_fe,QWK_scale,8,0.5363532584525557,0.6460998145278989,-0.10974655607534323,0.0,0.0078125,0.0205078125,True
weapon,gpt_law,hybrid_full_gpt,QWK_scale,8,0.5970079074236287,0.6166691698622018,-0.019661262438573024,12.0,0.4609375,0.5094572368421053,False
weapon,gpt_law,hybrid_manual_gpt,QWK_scale,8,0.5970079074236287,0.5806175360534467,0.016390371370182066,12.0,0.4609375,0.5094572368421053,False
weapon,gpt_law,manual_fe,QWK_scale,8,0.5970079074236287,0.6460998145278989,-0.04909190710427014,4.0,0.0546875,0.095703125,False
weapon,hybrid_full_gpt,hybrid_manual_gpt,QWK_scale,8,0.6166691698622018,0.5806175360534467,0.03605163380875509,5.0,0.078125,0.12620192307692307,False
weapon,hybrid_full_gpt,manual_fe,QWK_scale,8,0.6166691698622018,0.6460998145278989,-0.029430644665697114,6.0,0.109375,0.15312499999999998,False
weapon,hybrid_manual_gpt,manual_fe,QWK_scale,8,0.5806175360534467,0.6460998145278989,-0.0654822784744522,0.0,0.0078125,0.0205078125,True
drugs,facts,fe_gpt_schema,C_index,8,0.9109962351489945,0.9098645076800757,0.001131727468918875,18.0,1.0,1.0,False
drugs,facts,gpt_free,C_index,8,0.9109962351489945,0.9158941272390835,-0.004897892090088951,12.0,0.4609375,0.5094572368421053,False
drugs,facts,gpt_law,C_index,8,0.9109962351489945,0.8929681141172512,0.018028121031743338,5.0,0.078125,0.12620192307692307,False
drugs,facts,hybrid_full_gpt,C_index,8,0.9109962351489945,0.9359442015660604,-0.02494796641706587,0.0,0.0078125,0.02734375,True
drugs,facts,hybrid_manual_gpt,C_index,8,0.9109962351489945,0.9312103802040393,-0.02021414505504482,4.0,0.0546875,0.095703125,False
drugs,facts,manual_fe,C_index,8,0.9109962351489945,0.9390968864315509,-0.028100651282556344,0.0,0.0078125,0.02734375,True
drugs,fe_gpt_schema,gpt_free,C_index,8,0.9098645076800757,0.9158941272390835,-0.006029619559007826,13.0,0.546875,0.57421875,False
drugs,fe_gpt_schema,gpt_law,C_index,8,0.9098645076800757,0.8929681141172512,0.016896393562824463,7.0,0.1484375,0.20781249999999998,False
drugs,fe_gpt_schema,hybrid_full_gpt,C_index,8,0.9098645076800757,0.9359442015660604,-0.026079693885984745,2.0,0.0234375,0.049218750000000006,True
drugs,fe_gpt_schema,hybrid_manual_gpt,C_index,8,0.9098645076800757,0.9312103802040393,-0.021345872523963694,2.0,0.0234375,0.049218750000000006,True
drugs,fe_gpt_schema,manual_fe,C_index,8,0.9098645076800757,0.9390968864315509,-0.02923237875147522,0.0,0.0078125,0.02734375,True
drugs,gpt_free,gpt_law,C_index,8,0.9158941272390835,0.8929681141172512,0.02292601312183229,2.0,0.0234375,0.049218750000000006,True
