n,QWK_scale,C_index,Spearman,AP_strict,AP_lenient,F1_strict_oracle,F1_lenient_oracle,F1_strict_t50,F1_lenient_t50,model,rep,domain
100,0.6967559943582511,0.9084852734922861,0.7381861178198751,0.8912565537565539,0.8698667533667533,0.8611111111106114,0.8076923076918083,0.660377358490566,0.7933884297520661,gpt51_thinking,fe_gpt_schema,drugs
141,0.5626710454296662,0.8226109857035365,0.5707786323351849,0.6551237496970959,0.7872530830797146,0.6238532110086864,0.7532467532462653,0.6074074074074074,0.7532467532467533,gpt51_thinking,fe_gpt_schema,weapon
100,0.7549280767181673,0.9352419904567144,0.798871179327531,0.9440528791933883,0.9098448928988061,0.8955223880592024,0.8363636363631405,0.7906976744186046,0.7920792079207921,gpt51_thinking,gpt_free,drugs
141,0.6799697370909779,0.8650519031141869,0.6729875858923745,0.6932429709867094,0.8604763468564998,0.7346938775505222,0.8064516129027269,0.7107438016528925,0.8,gpt51_thinking,gpt_free,weapon
100,0.660620245757753,0.8928322894919972,0.7185351473534725,0.8917874875868919,0.8577543085173975,0.8533333333328355,0.778947368420554,0.6666666666666666,0.7692307692307693,gpt51_thinking,gpt_law,drugs
141,0.6684461391801715,0.9016905549430356,0.71928783054461,0.750593555517769,0.8483180968406302,0.7592592592587702,0.8307692307687308,0.6766917293233082,0.7894736842105263,gpt51_thinking,gpt_law,weapon
100,0.7495303694427051,0.9212435233160622,0.7697920269315427,0.8981151934536487,0.8770826152871296,0.8717948717943769,0.823529411764206,0.7070707070707071,0.8070175438596491,gpt51_thinking,hybrid_full_gpt,drugs
141,0.69738430583501,0.914654076629744,0.7458833173938818,0.7936730691938793,0.8890487856839748,0.7692307692302759,0.8527131782940736,0.6666666666666666,0.7814569536423841,gpt51_thinking,hybrid_full_gpt,weapon
100,0.7095179233621756,0.9191328286304198,0.7729168509024879,0.9345397508596935,0.8923951362242314,0.868421052631082,0.8032786885241063,0.68,0.782608695652174,gpt51_thinking,hybrid_manual_gpt,drugs
141,0.7232811096696936,0.9195506432324696,0.7591920443461913,0.7848106300456307,0.906861512198234,0.7663551401864255,0.8507462686562168,0.6870229007633588,0.8133333333333334,gpt51_thinking,hybrid_manual_gpt,weapon
