metric,domain,a,b,n,mean_a,mean_b,delta,dz,wins,p_raw,p_fdr,p_bonf,sig_fdr_5pct
Ordinal_AUC,weapon,Hybrid-Full,Raw-Facts,11,0.9054,0.8756,0.0298,1.396,10,0.001465,0.00293,0.00879,True
Ordinal_AUC,weapon,GPT-Schema,Manual,11,0.9008,0.92,-0.0192,-1.655,0,1.0,1.0,1.0,False
Ordinal_AUC,weapon,GPT-Schema,Hybrid-Manual,11,0.9008,0.9065,-0.0056,-0.349,4,0.86084,1.0,1.0,False
Ordinal_AUC,weapon,GPT-Schema,Hybrid-Full,11,0.9008,0.9054,-0.0046,-0.25,4,0.767578,1.0,1.0,False
Ordinal_AUC,weapon,GPT-Schema,GPT-Free,11,0.9008,0.873,0.0278,1.58,10,0.001465,0.004395,0.00879,True
Ordinal_AUC,weapon,GPT-Schema,GPT-Law,11,0.9008,0.8759,0.0249,1.695,10,0.001465,0.004395,0.00879,True
Ordinal_AUC,weapon,GPT-Schema,Raw-Facts,11,0.9008,0.8756,0.0253,0.757,9,0.01709,0.03418,0.10254,True
Ordinal_AUC,weapon,GPT-Free,Manual,11,0.873,0.92,-0.047,-2.624,0,1.0,1.0,1.0,False
Ordinal_AUC,weapon,GPT-Free,Hybrid-Manual,11,0.873,0.9065,-0.0335,-1.69,1,0.999512,1.0,1.0,False
Ordinal_AUC,weapon,GPT-Free,Hybrid-Full,11,0.873,0.9054,-0.0324,-2.159,0,1.0,1.0,1.0,False
Ordinal_AUC,weapon,GPT-Free,GPT-Schema,11,0.873,0.9008,-0.0278,-1.58,1,0.999023,1.0,1.0,False
Ordinal_AUC,weapon,GPT-Free,GPT-Law,11,0.873,0.8759,-0.0029,-0.215,2,0.879883,1.0,1.0,False
Ordinal_AUC,weapon,GPT-Free,Raw-Facts,11,0.873,0.8756,-0.0026,-0.114,6,0.649902,1.0,1.0,False
Ordinal_AUC,weapon,GPT-Law,Manual,11,0.8759,0.92,-0.0441,-2.383,0,1.0,1.0,1.0,False
Ordinal_AUC,weapon,GPT-Law,Hybrid-Manual,11,0.8759,0.9065,-0.0306,-1.557,1,0.999023,1.0,1.0,False
Ordinal_AUC,weapon,GPT-Law,Hybrid-Full,11,0.8759,0.9054,-0.0295,-1.393,0,1.0,1.0,1.0,False
Ordinal_AUC,weapon,GPT-Law,GPT-Schema,11,0.8759,0.9008,-0.0249,-1.695,1,0.999023,1.0,1.0,False
Ordinal_AUC,weapon,GPT-Law,GPT-Free,11,0.8759,0.873,0.0029,0.215,9,0.13916,0.697266,0.83496,False
Ordinal_AUC,weapon,GPT-Law,Raw-Facts,11,0.8759,0.8756,0.0003,0.011,7,0.232422,0.697266,1.0,False
Ordinal_AUC,weapon,Raw-Facts,Manual,11,0.8756,0.92,-0.0444,-1.547,1,0.999023,0.999023,1.0,False
Ordinal_AUC,weapon,Raw-Facts,Hybrid-Manual,11,0.8756,0.9065,-0.0309,-1.008,2,0.996582,0.999023,1.0,False
Ordinal_AUC,weapon,Raw-Facts,Hybrid-Full,11,0.8756,0.9054,-0.0298,-1.396,1,0.999023,0.999023,1.0,False
Ordinal_AUC,weapon,Raw-Facts,GPT-Schema,11,0.8756,0.9008,-0.0253,-0.757,2,0.984863,0.999023,1.0,False
Ordinal_AUC,weapon,Raw-Facts,GPT-Free,11,0.8756,0.873,0.0026,0.114,5,0.382324,0.999023,1.0,False
Ordinal_AUC,weapon,Raw-Facts,GPT-Law,11,0.8756,0.8759,-0.0003,-0.011,4,0.793457,0.999023,1.0,False
