domain,rep,model,task,f1,ap_pr
weapon,hybrid_full_gpt,llama3_70b,b1,0.7568,0.7099
weapon,facts,gpt52,b0,0.7342,0.7864
weapon,facts,gpt52,b1,0.8,0.8353
weapon,gpt_free,qwen_hf,b0,0.6481,0.6472
weapon,gpt_free,qwen_hf,b1,0.76,0.7961
weapon,fe_gpt_schema_v2,gpt4,b0,0.7,0.7231
weapon,fe_gpt_schema_v2,gpt4,b1,0.782,0.8228
weapon,fe_gpt_schema_v2,qwen3_235b,b0,0.6875,0.6573
weapon,fe_gpt_schema_v2,qwen3_235b,b1,0.7671,0.7775
weapon,manual_fe,llama3_70b,b0,0.544,0.5416
weapon,manual_fe,llama3_70b,b1,0.726,0.6717
weapon,facts,llama3_70b,b0,0.5806,0.6332
weapon,facts,llama3_70b,b1,0.7172,0.7326
weapon,fe_gpt_schema_v2,gpt52,b0,0.7609,0.7321
weapon,fe_gpt_schema_v2,gpt52,b1,0.7965,0.8281
weapon,fe_gpt_schema_v2,gemma3_27b,b0,0.6087,0.5916
weapon,fe_gpt_schema_v2,gemma3_27b,b1,0.7389,0.675
weapon,gpt_law,gpt4,b0,0.6263,0.6682
weapon,gpt_law,gpt4,b1,0.75,0.8179
weapon,hybrid_full_gpt,gpt5mini,b0,0.6875,0.628
weapon,hybrid_full_gpt,gpt5mini,b1,0.7887,0.7842
weapon,gpt_free,gpt4,b0,0.716,0.7555
weapon,gpt_free,gpt4,b1,0.7458,0.8337
weapon,gpt_free,claude_sonnet_4_6,b0,0.6923,0.7644
weapon,gpt_free,claude_sonnet_4_6,b1,0.7786,0.8512
weapon,gpt_law,claude_sonnet_4_6,b0,0.6667,0.6922
weapon,gpt_law,claude_sonnet_4_6,b1,0.7887,0.7945
weapon,hybrid_manual_gpt,gemini_25_pro,b0,0.72,0.6826
weapon,hybrid_manual_gpt,gemini_25_pro,b1,0.8264,0.8487
weapon,hybrid_manual_gpt,gpt4,b0,0.7568,0.8276
weapon,hybrid_manual_gpt,gpt4,b1,0.8027,0.883
weapon,hybrid_manual_gpt,qwen_hf,b0,0.6796,0.7277
weapon,hybrid_manual_gpt,qwen_hf,b1,0.7742,0.8302
weapon,fe_gpt_schema_v2,llama3_70b,b0,0.5294,0.5041
weapon,fe_gpt_schema_v2,llama3_70b,b1,0.6543,0.6076
weapon,hybrid_full_gpt,gpt51_thinking,b0,0.6944,0.7086
weapon,hybrid_full_gpt,gpt51_thinking,b1,0.8085,0.8188
weapon,hybrid_full_gpt,qwen3_235b,b0,0.6429,0.674
weapon,hybrid_full_gpt,qwen3_235b,b1,0.7812,0.8104
weapon,hybrid_manual_gpt,gpt51_thinking,b0,0.7619,0.8079
weapon,hybrid_manual_gpt,gpt51_thinking,b1,0.8143,0.8974
weapon,facts,gemma3_27b,b0,0.7103,0.6674
weapon,facts,gemma3_27b,b1,0.7879,0.8304
weapon,manual_fe,gemma3_27b,b0,0.6452,0.6398
weapon,manual_fe,gemma3_27b,b1,0.8054,0.7711
weapon,manual_fe,gemini_3_flash,b0,0.7129,0.7527
weapon,manual_fe,gemini_3_flash,b1,0.855,0.8997
weapon,gpt_law,gemini_3_flash,b0,0.68,0.6446
weapon,gpt_law,gemini_3_flash,b1,0.7869,0.8393
weapon,gpt_law,gpt5mini,b0,0.6207,0.6296
weapon,gpt_law,gpt5mini,b1,0.7578,0.7931
weapon,hybrid_manual_gpt,gemma3_27b,b0,0.6729,0.6281
weapon,hybrid_manual_gpt,gemma3_27b,b1,0.7714,0.7405
weapon,fe_gpt_schema_v2,gpt51_thinking,b0,0.72,0.7573
weapon,fe_gpt_schema_v2,gpt51_thinking,b1,0.7671,0.8001
weapon,gpt_free,gemini_3_flash,b0,0.7333,0.6484
weapon,gpt_free,gemini_3_flash,b1,0.7647,0.8111
weapon,gpt_law,gemma3_27b,b0,0.5781,0.5361
weapon,gpt_law,gemma3_27b,b1,0.7517,0.6962
weapon,fe_gpt_schema_v2,qwen_hf,b0,0.6286,0.6419
weapon,fe_gpt_schema_v2,qwen_hf,b1,0.7285,0.7321
weapon,hybrid_full_gpt,gpt4,b0,0.7111,0.7991
weapon,hybrid_full_gpt,gpt4,b1,0.8058,0.877
weapon,hybrid_full_gpt,qwen_hf,b0,0.6337,0.6333
weapon,hybrid_full_gpt,qwen_hf,b1,0.7413,0.7512
weapon,facts,gpt4,b0,0.7586,0.7526
weapon,facts,gpt4,b1,0.7778,0.8497
weapon,hybrid_manual_gpt,claude_sonnet_4_6,b0,0.747,0.8111
weapon,hybrid_manual_gpt,claude_sonnet_4_6,b1,0.8321,0.8966
weapon,hybrid_manual_gpt,gpt52,b0,0.7609,0.7441
weapon,hybrid_manual_gpt,gpt52,b1,0.8296,0.8828
weapon,gpt_free,qwen3_235b,b0,0.7037,0.6958
weapon,gpt_free,qwen3_235b,b1,0.7597,0.781
weapon,manual_fe,qwen_hf,b0,0.6735,0.6644
weapon,manual_fe,qwen_hf,b1,0.8116,0.834
weapon,gpt_law,llama3_70b,b0,0.5669,0.5724
weapon,gpt_law,llama3_70b,b1,0.7297,0.6954
weapon,facts,gpt51_thinking,b0,0.7253,0.7331
weapon,facts,gpt51_thinking,b1,0.7879,0.8567
weapon,fe_gpt_schema_v2,gemini_25_pro,b0,0.6988,0.7671
weapon,fe_gpt_schema_v2,gemini_25_pro,b1,0.7742,0.8246
weapon,hybrid_manual_gpt,llama3_70b,b0,0.6154,0.5345
weapon,hybrid_manual_gpt,llama3_70b,b1,0.72,0.7137
