domain,representation,model,f1_b0_old,f1_b0_new,f1_b1_old,f1_b1_new
weapon,hybrid_full_gpt,gemini_25_pro,,,,
weapon,hybrid_full_gpt,gemini_3_flash,,,,
weapon,with_gpt_law_features,qwen3_235b,0.6526315789473685,0.6956521739130435,0.7225806451612903,0.7435897435897436
weapon,with_gpt_law_features,gpt51_thinking,0.7096774193548387,0.7555555555555555,0.7833333333333333,0.8099173553719008
weapon,fe,gpt51_thinking,0.7727272727272727,0.8235294117647058,0.8688524590163934,0.8943089430894309
weapon,fe,gpt4,0.7472527472527473,0.8,0.821917808219178,0.8461538461538461
weapon,with_gpt_law_features,qwen_hf,0.6206896551724138,0.6371681415929203,0.7445255474452555,0.7681159420289855
weapon,hybrid,qwen3_235b,0.7073170731707317,0.7088607594936709,0.7605633802816901,0.7832167832167832
weapon,with_gpt_law_features,gpt52,0.6756756756756757,0.704225352112676,0.828125,0.8527131782945736
weapon,fe,qwen3_235b,0.6582278481012658,0.7105263157894737,0.7891156462585034,0.8108108108108109
weapon,with_indicment_facts,qwen3_235b,0.7209302325581395,0.7710843373493976,0.7819548872180451,0.8059701492537313
weapon,with_gpt_features,gpt5mini,0.6829268292682927,0.7341772151898734,0.7391304347826086,0.7482014388489209
weapon,hybrid_full_gpt,gemma3_27b,,,,
weapon,with_gpt_features,gpt51_thinking,0.7032967032967034,0.75,0.7777777777777778,0.8031496062992126
weapon,hybrid_full_gpt,claude_sonnet_4_6,0.8089887640449438,0.8372093023255814,0.8181818181818182,0.8468468468468469
weapon,fe_gpt_schema_v2,gemini_3_flash,0.75,0.7764705882352941,0.8057553956834532,0.8285714285714286
weapon,with_gpt_law_features,gemini_25_pro,0.6019417475728155,0.64,0.7218045112781954,0.7407407407407407
weapon,hybrid,gpt5mini,0.7126436781609196,0.7469879518072289,0.8142857142857143,0.8368794326241135
weapon,with_indicment_facts,claude_sonnet_4_6,0.7532467532467533,0.7837837837837838,0.782608695652174,0.8057553956834532
weapon,with_indicment_facts,gemini_3_flash,0.7157894736842105,0.7608695652173914,0.7851851851851852,0.8095238095238095
weapon,fe_gpt_schema_v2,gpt5mini,0.7045454545454546,0.7294117647058823,0.7786259541984732,0.803030303030303
weapon,fe,gemini_25_pro,0.7346938775510204,0.7368421052631579,0.7971014492753623,0.8125
weapon,with_indicment_facts,gpt5mini,0.6666666666666666,0.6923076923076923,0.75,0.7586206896551724
weapon,hybrid_full_gpt,llama3_70b,,,,
weapon,with_indicment_facts,gpt52,0.7341772151898734,0.7631578947368421,0.8,0.8235294117647058
