domain,rep,model,task,f1,prec,rec,loo,thr,nv,nf
weapon,gpt_free,gpt5mini,binary_0,0.6829,0.6829,0.6829,0.6329,62.3116,141,0
weapon,gpt_free,gpt5mini,binary_1,0.7391,0.6711,0.8226,0.7391,45.2261,141,0
weapon,gpt_free,llama3_70b,binary_0,0.5684,0.5,0.6585,0.5684,58.2915,141,0
weapon,gpt_free,llama3_70b,binary_1,0.7066,0.5619,0.9516,0.6982,38.191,141,0
weapon,gpt_free,qwen3_235b,binary_0,0.7037,0.5672,0.9268,0.6408,35.1759,141,0
weapon,gpt_free,qwen3_235b,binary_1,0.7597,0.7313,0.7903,0.7597,35.1759,141,0
weapon,gpt_free,qwen_hf,binary_0,0.6481,0.5224,0.8537,0.5686,35.1759,141,0
weapon,gpt_free,qwen_hf,binary_1,0.76,0.6477,0.9194,0.76,30.1508,141,0
weapon,gpt_law,claude_sonnet_4_6,binary_0,0.6667,0.5469,0.8537,0.6667,38.191,141,0
weapon,gpt_law,claude_sonnet_4_6,binary_1,0.7887,0.7,0.9032,0.7801,32.1608,141,0
weapon,gpt_law,gemini_25_pro,binary_0,0.6019,0.5,0.7561,0.6019,35.1759,141,0
weapon,gpt_law,gemini_25_pro,binary_1,0.7218,0.6761,0.7742,0.6358,30.1508,141,0
weapon,gpt_law,gemini_3_flash,binary_0,0.68,0.5763,0.8293,0.5745,75.3769,141,0
weapon,gpt_law,gemini_3_flash,binary_1,0.7869,0.8,0.7742,0.7869,72.3618,141,0
weapon,gpt_law,gemma3_27b,binary_0,0.5781,0.4253,0.9024,0.5781,45.2261,141,0
weapon,gpt_law,gemma3_27b,binary_1,0.7517,0.6437,0.9032,0.7517,45.2261,141,0
weapon,gpt_law,gpt4,binary_0,0.6263,0.5345,0.7561,0.5532,65.3266,141,0
weapon,gpt_law,gpt4,binary_1,0.75,0.7759,0.7258,0.75,65.3266,141,0
weapon,gpt_law,gpt51_thinking,binary_0,0.7097,0.6346,0.8049,0.6517,68.3417,141,0
weapon,gpt_law,gpt51_thinking,binary_1,0.7833,0.8103,0.7581,0.7833,65.3266,141,0
weapon,gpt_law,gpt52,binary_0,0.6757,0.7576,0.6098,0.5208,66.3317,141,0
weapon,gpt_law,gpt52,binary_1,0.8281,0.803,0.8548,0.8281,58.2915,141,0
weapon,gpt_law,gpt5mini,binary_0,0.6207,0.587,0.6585,0.6207,65.3266,141,0
weapon,gpt_law,gpt5mini,binary_1,0.7578,0.6162,0.9839,0.7421,40.201,141,0
weapon,gpt_law,llama3_70b,binary_0,0.5669,0.4186,0.878,0.528,55.2764,141,0
weapon,gpt_law,llama3_70b,binary_1,0.7297,0.6279,0.871,0.7248,55.2764,141,0
weapon,gpt_law,qwen3_235b,binary_0,0.6526,0.5741,0.7561,0.6458,50.2513,141,0
weapon,gpt_law,qwen3_235b,binary_1,0.7226,0.6022,0.9032,0.7226,35.1759,141,0
weapon,gpt_law,qwen_hf,binary_0,0.6207,0.48,0.878,0.6207,40.201,141,0
weapon,gpt_law,qwen_hf,binary_1,0.7445,0.68,0.8226,0.7445,40.201,141,0
weapon,hybrid_full_gpt,claude_sonnet_4_6,binary_0,0.809,0.75,0.878,0.809,42.2111,141,0
weapon,hybrid_full_gpt,claude_sonnet_4_6,binary_1,0.8182,0.9375,0.7258,0.7759,42.2111,141,0
weapon,hybrid_manual_gpt,claude_sonnet_4_6,binary_0,0.747,0.7381,0.7561,0.6494,42.2111,141,0
weapon,hybrid_manual_gpt,claude_sonnet_4_6,binary_1,0.8321,0.76,0.9194,0.8321,28.1407,141,0
weapon,manual_fe,claude_sonnet_4_6,binary_0,0.7358,0.6,0.9512,0.7358,38.191,141,0
weapon,manual_fe,claude_sonnet_4_6,binary_1,0.8504,0.8308,0.871,0.8504,38.191,141,0
weapon,manual_fe,gemini_25_pro,binary_0,0.7347,0.6316,0.878,0.7083,40.201,141,0
weapon,manual_fe,gemini_25_pro,binary_1,0.7971,0.7237,0.8871,0.7971,25.1256,141,0
weapon,manual_fe,gemini_3_flash,binary_0,0.7129,0.6,0.878,0.6022,68.3417,141,0
weapon,manual_fe,gemini_3_flash,binary_1,0.855,0.8116,0.9032,0.855,62.3116,141,0
weapon,manual_fe,gemma3_27b,binary_0,0.6452,0.4819,0.9756,0.6299,60.3015,141,0
weapon,manual_fe,gemma3_27b,binary_1,0.8054,0.6897,0.9677,0.8054,55.2764,141,0
weapon,manual_fe,gpt4,binary_0,0.7473,0.68,0.8293,0.6744,65.3266,141,0
weapon,manual_fe,gpt4,binary_1,0.8219,0.7143,0.9677,0.7626,48.2412,141,0
weapon,manual_fe,gpt51_thinking,binary_0,0.7727,0.7234,0.8293,0.7727,70.3518,141,0
weapon,manual_fe,gpt51_thinking,binary_1,0.8689,0.8833,0.8548,0.8689,65.3266,141,0
weapon,manual_fe,gpt52,binary_0,0.7342,0.7632,0.7073,0.7342,62.3116,141,0
weapon,manual_fe,gpt52,binary_1,0.8462,0.8088,0.8871,0.8462,58.2915,141,0
weapon,manual_fe,gpt5mini,binary_0,0.7013,0.75,0.6585,0.7013,70.3518,141,0
weapon,manual_fe,gpt5mini,binary_1,0.7742,0.7742,0.7742,0.6573,60.3015,141,0
weapon,manual_fe,llama3_70b,binary_0,0.544,0.4048,0.8293,0.5397,58.2915,141,0
weapon,manual_fe,llama3_70b,binary_1,0.726,0.631,0.8548,0.7211,58.2915,141,0
weapon,manual_fe,qwen3_235b,binary_0,0.6582,0.6842,0.6341,0.5778,58.2915,141,0
weapon,manual_fe,qwen3_235b,binary_1,0.7891,0.6824,0.9355,0.7891,40.201,141,0
weapon,manual_fe,qwen_hf,binary_0,0.6735,0.5789,0.8049,0.6735,45.2261,141,0
weapon,manual_fe,qwen_hf,binary_1,0.8116,0.7368,0.9032,0.8116,40.201,141,0
