verdict,domain,in_deg,out_deg,low,high,year,court
תפ_52796-01-15,drugs,0,0,0.0,8.0,2015,תפ
תפ_1647-05-15,weapon,6,0,8.0,30.0,2015,תפ
תפ_37551-01-16,drugs,4,2,24.0,60.0,2016,תפ
תפ_22471-01-14,drugs,0,0,12.0,72.0,2014,תפ
תפ_60154-02-19,drugs,0,0,5.0,18.0,2019,תפ
תפ_67437-05-24,weapon,0,0,28.0,48.0,2024,תפ
תפ_3910-02-23,weapon,0,4,30.0,42.0,2023,תפ
תפ_54132-03-21,weapon,0,4,80.0,108.0,2021,תפ
תפ_51296-08-21,weapon,0,3,21.0,50.0,2021,תפ
תפ_2047-08-15,weapon,0,0,8.0,18.0,2015,תפ
תפ_30884-10-21,drugs,0,0,4.0,12.0,2021,תפ
תפ_33128-06-22,weapon,0,1,6.0,18.0,2022,תפ
תפ_30169-09-16,drugs,0,0,8.0,24.0,2016,תפ
תפ_42836-09-14,weapon,0,0,15.0,30.0,2014,תפ
תפ_17809-03-14,weapon,1,0,10.0,24.0,2014,תפ
תפח_28728-08-17,weapon,0,0,60.0,132.0,2017,תפח
תפ_54421-06-15,drugs,1,1,0.0,12.0,2015,תפ
עפ_4945-13,weapon,190,0,12.0,36.0,2013,עפ
תפ_47284-03-19,drugs,0,1,18.0,36.0,2019,תפ
תפ_54472-09-22,drugs,0,0,2.0,15.0,2022,תפ
עפ_2333-13,weapon,0,0,8.0,24.0,2013,עפ
תפ_32731-05-18,weapon,0,0,12.0,36.0,2018,תפ
תפ_50747-07-16,weapon,0,0,24.0,40.0,2016,תפ
תפ_45441-11-15,weapon,0,0,32.0,58.0,2015,תפ
תפ_32356-04-22,drugs,1,0,0.0,18.0,2022,תפ
תפ_9343-07-14,drugs,0,0,12.0,30.0,2014,תפ
תפ_58282-05-20,drugs,0,0,20.0,48.0,2020,תפ
תפ_36033-05-22,drugs,0,2,4.0,12.0,2022,תפ
תפ_15616-09-14,drugs,0,0,9.0,12.0,2014,תפ
תפ_15120-07-16,weapon,0,0,6.0,20.0,2016,תפ
תפ_57618-05-17,weapon,2,0,20.0,40.0,2017,תפ
תפ_57778-06-20,drugs,0,0,6.0,18.0,2020,תפ
תפ_39727-12-20,weapon,1,7,14.0,28.0,2020,תפ
תפ_8416-07-21,weapon,3,0,72.0,120.0,2021,תפ
תפ_4734-12-22,weapon,4,3,42.0,84.0,2022,תפ
תפ_19393-03-17,drugs,0,2,8.0,18.0,2017,תפ
תפ_40469-02-13,weapon,0,0,36.0,72.0,2013,תפ
תפ_26247-04-19,weapon,0,0,10.0,30.0,2019,תפ
תפ_8748-02-14,weapon,0,0,24.0,48.0,2014,תפ
תפ_42734-08-23,drugs,0,3,40.0,70.0,2023,תפ
תפח_24510-09-15,weapon,1,3,18.0,36.0,2015,תפח
תפ_21666-04-17,drugs,0,0,10.0,24.0,2017,תפ
תפ_29650-01-18,weapon,2,0,12.0,30.0,2018,תפ
תפ_18484-07-23,weapon,1,7,84.0,108.0,2023,תפ
תפ_61299-12-19,weapon,4,6,16.0,36.0,2019,תפ
תפ_61134-04-21,weapon,0,0,12.0,36.0,2021,תפ
תפ_55035-10-18,weapon,1,4,18.0,48.0,2018,תפ
תפ_56031-10-19,weapon,1,0,60.0,96.0,2019,תפ
תפ_19242-04-17,weapon,0,0,20.0,40.0,2017,תפ
תפ_29453-05-22,drugs,0,0,0.0,9.0,2022,תפ
תפ_33928-09-12,weapon,6,3,4.0,18.0,2012,תפ
תפ_42230-07-18,drugs,0,0,0.0,8.0,2018,תפ
תפ_20644-11-22,weapon,2,2,54.0,72.0,2022,תפ
תפ_30197-04-17,drugs,0,5,8.0,20.0,2017,תפ
תפ_61099-12-18,drugs,4,0,18.0,30.0,2018,תפ
תפ_44381-05-20,weapon,4,6,13.0,39.0,2020,תפ
תפ_5233-06,weapon,0,0,24.0,48.0,2006,תפ
תפ_57996-05-20,weapon,0,2,24.0,48.0,2020,תפ
תפ_13749-03-17,drugs,0,1,15.0,36.0,2017,תפ
תפ_27294-04-19,weapon,1,5,14.0,36.0,2019,תפ
עפ_8045-17,weapon,60,0,48.0,84.0,2017,עפ
תפ_44422-01-17,drugs,0,2,6.0,18.0,2017,תפ
תפ_4488-09-18,drugs,0,0,8.0,22.0,2018,תפ
תפ_72132-02-19,drugs,0,2,12.0,36.0,2019,תפ
תפ_26520-04-14,drugs,0,0,0.0,9.0,2014,תפ
תפ_28662-02-15,weapon,1,0,54.0,82.0,2015,תפ
תפ_12143-06-20,drugs,0,2,36.0,60.0,2020,תפ
עפ_3804-10,weapon,0,0,55.0,85.0,2010,עפ
תפ_7660-03-20,drugs,0,0,6.0,12.0,2020,תפ
תפ_6712-06-14,drugs,0,0,6.0,18.0,2014,תפ
תפ_11042-06-20,weapon,2,4,15.0,40.0,2020,תפ
תפ_43665-08-21,drugs,0,0,20.0,40.0,2021,תפ
תפ_20484-05-16,drugs,0,0,0.0,9.0,2016,תפ
תפ_43773-03-14,drugs,2,0,18.0,48.0,2014,תפ
תפ_53492-11-13,drugs,0,0,0.0,10.0,2013,תפ
תפ_71968-02-19,drugs,2,0,12.0,24.0,2019,תפ
תפ_68375-05-18,drugs,0,0,10.0,24.0,2018,תפ
תפ_579-04-13,drugs,0,0,24.0,72.0,2013,תפ
תפ_41970-12-21,drugs,0,0,12.0,22.0,2021,תפ
תפ_46422-05-21,drugs,0,0,6.0,12.0,2021,תפ
תפ_26762-06-14,drugs,4,0,6.0,12.0,2014,תפ
תפ_36196-12-11,weapon,1,1,36.0,72.0,2011,תפ
תפ_880-02-22,drugs,0,0,24.0,60.0,2022,תפ
תפ_4413-05-13,drugs,3,2,6.0,18.0,2013,תפ
תפ_15972-06-20,drugs,0,8,6.0,18.0,2020,תפ
תפ_22080-10-16,drugs,2,0,30.0,60.0,2016,תפ
תפ_57220-05-15,weapon,1,1,60.0,96.0,2015,תפ
תפ_7236-05-22,drugs,0,0,5.0,12.0,2022,תפ
תפ_1872-10-15,drugs,0,0,42.0,60.0,2015,תפ
תפ_1886-04-22,drugs,0,0,8.0,20.0,2022,תפ
תפ_9785-12-15,weapon,2,1,16.0,40.0,2015,תפ
תפ_12122-04-13,weapon,2,2,108.0,156.0,2013,תפ
תפ_31735-07-21,drugs,0,0,0.0,18.0,2021,תפ
תפ_20354-10-21,drugs,0,5,16.0,36.0,2021,תפ
תפ_13335-08-13,drugs,0,0,0.0,15.0,2013,תפ
תפ_34635-11-22,drugs,0,0,20.0,40.0,2022,תפ
תפ_52782-09-22,weapon,10,8,84.0,120.0,2022,תפ
תפ_16449-02-15,drugs,0,0,72.0,108.0,2015,תפ
תפ_5159-05-23,weapon,0,0,9.0,18.0,2023,תפ
תפ_18933-02-24,drugs,0,0,7.0,24.0,2024,תפ
תפ_21026-11-15,drugs,0,0,0.0,8.0,2015,תפ
תפ_75514-07-24,drugs,0,5,56.0,88.0,2024,תפ
תפ_13642-10-18,drugs,0,0,12.0,40.0,2018,תפ
תפ_45599-07-14,drugs,0,0,12.0,24.0,2014,תפ
תפ_7089-08-23,weapon,0,6,28.0,50.0,2023,תפ
תפ_54615-03-16,weapon,4,2,20.0,40.0,2016,תפ
תפ_33180-08-16,drugs,0,0,60.0,108.0,2016,תפ
תפ_20360-09-13,weapon,0,0,9.0,24.0,2013,תפ
תפ_16760-09-22,weapon,3,8,16.0,36.0,2022,תפ
תפ_58599-05-12,weapon,1,0,10.0,30.0,2012,תפ
תפ_535-12,weapon,1,0,7.0,14.0,2012,תפ
תפ_24181-02-15,weapon,0,0,0.0,10.0,2015,תפ
תפ_63025-03-15,drugs,1,0,10.0,30.0,2015,תפ
תפ_13336-05-15,drugs,0,0,6.0,18.0,2015,תפ
תפ_34353-03-17,drugs,0,3,10.0,36.0,2017,תפ
תפ_47301-07-16,drugs,1,0,8.0,24.0,2016,תפ
תפ_18689-01-17,weapon,0,9,8.0,18.0,2017,תפ
