metric,domain,a,b,n,mean_a,mean_b,delta,dz,wins,p_raw,p_fdr,p_bonf,sig_fdr_5pct
Spearman,weapon,GPT-Law,GPT-Free,11,0.683,0.678,0.005,0.207,9,0.120117,0.697266,0.720702,False
Spearman,weapon,GPT-Law,Raw-Facts,11,0.683,0.6817,0.0013,0.024,7,0.232422,0.697266,1.0,False
Spearman,weapon,Raw-Facts,Manual,11,0.6817,0.76,-0.0783,-1.485,2,0.998535,0.998535,1.0,False
Spearman,weapon,Raw-Facts,Hybrid-Manual,11,0.6817,0.7364,-0.0547,-0.991,2,0.995605,0.998535,1.0,False
Spearman,weapon,Raw-Facts,Hybrid-Full,11,0.6817,0.7363,-0.0546,-1.407,2,0.998535,0.998535,1.0,False
Spearman,weapon,Raw-Facts,GPT-Schema,11,0.6817,0.7261,-0.0445,-0.717,2,0.973145,0.998535,1.0,False
Spearman,weapon,Raw-Facts,GPT-Free,11,0.6817,0.678,0.0037,0.086,5,0.550781,0.998535,1.0,False
Spearman,weapon,Raw-Facts,GPT-Law,11,0.6817,0.683,-0.0013,-0.024,4,0.793457,0.998535,1.0,False
Kendall,drugs,Manual,Hybrid-Manual,11,0.6693,0.6545,0.0148,0.54,8,0.033691,0.033691,0.202146,True
Kendall,drugs,Manual,Hybrid-Full,11,0.6693,0.6451,0.0242,1.329,9,0.002441,0.003662,0.014646,True
Kendall,drugs,Manual,GPT-Schema,11,0.6693,0.651,0.0182,0.805,8,0.020996,0.025195,0.125976,True
Kendall,drugs,Manual,GPT-Free,11,0.6693,0.625,0.0443,2.541,11,0.000488,0.000976,0.002928,True
Kendall,drugs,Manual,GPT-Law,11,0.6693,0.5941,0.0751,3.403,11,0.000488,0.000976,0.002928,True
Kendall,drugs,Manual,Raw-Facts,11,0.6693,0.6183,0.051,2.722,11,0.000488,0.000976,0.002928,True
Kendall,drugs,Hybrid-Manual,Manual,11,0.6545,0.6693,-0.0148,-0.54,3,0.973145,0.973145,1.0,False
Kendall,drugs,Hybrid-Manual,Hybrid-Full,11,0.6545,0.6451,0.0094,0.385,8,0.160156,0.240234,0.960936,False
Kendall,drugs,Hybrid-Manual,GPT-Schema,11,0.6545,0.651,0.0035,0.113,6,0.318848,0.382618,1.0,False
Kendall,drugs,Hybrid-Manual,GPT-Free,11,0.6545,0.625,0.0296,1.43,10,0.001465,0.00293,0.00879,True
Kendall,drugs,Hybrid-Manual,GPT-Law,11,0.6545,0.5941,0.0604,2.015,11,0.000488,0.001464,0.002928,True
Kendall,drugs,Hybrid-Manual,Raw-Facts,11,0.6545,0.6183,0.0363,2.139,11,0.000488,0.001464,0.002928,True
Kendall,drugs,Hybrid-Full,Manual,11,0.6451,0.6693,-0.0242,-1.329,2,0.998535,0.998535,1.0,False
Kendall,drugs,Hybrid-Full,Hybrid-Manual,11,0.6451,0.6545,-0.0094,-0.385,3,0.86084,0.998535,1.0,False
Kendall,drugs,Hybrid-Full,GPT-Schema,11,0.6451,0.651,-0.0059,-0.265,4,0.793457,0.998535,1.0,False
Kendall,drugs,Hybrid-Full,GPT-Free,11,0.6451,0.625,0.0201,0.961,9,0.004883,0.009766,0.029298,True
Kendall,drugs,Hybrid-Full,GPT-Law,11,0.6451,0.5941,0.051,2.636,11,0.000488,0.002928,0.002928,True
Kendall,drugs,Hybrid-Full,Raw-Facts,11,0.6451,0.6183,0.0268,1.452,10,0.000977,0.002931,0.005862,True
Kendall,drugs,GPT-Schema,Manual,11,0.651,0.6693,-0.0182,-0.805,3,0.983887,0.983887,1.0,False
Kendall,drugs,GPT-Schema,Hybrid-Manual,11,0.651,0.6545,-0.0035,-0.113,5,0.711426,0.853711,1.0,False
Kendall,drugs,GPT-Schema,Hybrid-Full,11,0.651,0.6451,0.0059,0.265,7,0.232422,0.348633,1.0,False
Kendall,drugs,GPT-Schema,GPT-Free,11,0.651,0.625,0.0261,1.03,9,0.009277,0.018554,0.055662,True
Kendall,drugs,GPT-Schema,GPT-Law,11,0.651,0.5941,0.0569,3.012,11,0.000488,0.001464,0.002928,True
