setup,domain,rep,model,QWK_Oracle,QWK_CV,C_index,Spearman
EXPANDED N=13,drugs,Raw-Facts,claude_sonnet_4_6,0.8107448107448108,0.7565320665083135,0.8985123966942149,0.7551296694881556
EXPANDED N=13,drugs,Raw-Facts,gemini_25_pro,0.7929844738355376,0.7856315179606026,0.8570247933884297,0.7009173310283996
EXPANDED N=13,drugs,Raw-Facts,gemini_3_flash,0.81786133960047,0.8017492711370262,0.8737190082644628,0.7224946537780931
EXPANDED N=13,drugs,Raw-Facts,gemma3_27b,0.7736093143596379,0.7400909681611436,0.8839669421487604,0.7438425284016923
EXPANDED N=13,drugs,Raw-Facts,gemma4_31b_or,0.8070175438596492,0.7753456221198157,0.8826446280991735,0.7331061513632273
EXPANDED N=13,drugs,Raw-Facts,llama3_70b,0.7286602600339174,0.6911421911421911,0.8474380165289256,0.6870231373366028
EXPANDED N=13,drugs,Raw-Facts,qwen3_vl_235b_or,0.7861271676300579,0.7359154929577465,0.8732231404958678,0.7296650521087181
EXPANDED N=13,drugs,Raw-Facts,qwen3_235b_or,0.7892938496583144,0.778683750728014,0.8775206611570248,0.7353787297654022
EXPANDED N=13,drugs,Raw-Facts,mistral_large_or,0.751271905031091,0.751271905031091,0.8662809917355372,0.722462214442458
EXPANDED N=13,drugs,Hybrid-Manual,gpt4,0.8260309278350515,0.7723187537447573,0.9145454545454546,0.7881006143368533
EXPANDED N=13,drugs,Hybrid-Manual,gpt5mini,0.8140111593304402,0.7342398022249691,0.9130578512396694,0.7896691984027838
EXPANDED N=13,drugs,Hybrid-Manual,gpt52,0.8070175438596492,0.7518159806295399,0.9082644628099174,0.7836337813546158
EXPANDED N=13,drugs,Hybrid-Manual,gpt51_thinking,0.8225901833234772,0.7784431137724551,0.9019834710743801,0.771400997808559
EXPANDED N=13,drugs,Hybrid-Manual,claude_sonnet_4_6,0.8114393463230672,0.7376267143709003,0.9181818181818182,0.7997880164923561
EXPANDED N=13,drugs,Hybrid-Manual,gemini_25_pro,0.7986974541148608,0.7455176402544823,0.8889256198347107,0.7682833710820847
