canonical_id,domain,csv_path
תפ_10078-11-13,weapon,csv/תפ_10078-11-13.csv
עפ_5717-14,weapon,csv/עפ_5717-14.csv
עפ_322-15,drugs,csv/עפ_322-15.csv
עפ_2596-18,weapon,csv/עפ_2596-18.csv
עפג_4007-01-16,weapon,csv/עפג_4007-01-16.csv
עפ_1901-19,weapon,csv/עפ_1901-19.csv
תפ_65088-02-18,drugs,csv/תפ_65088-02-18.csv
עפ_8340-14,weapon,csv/עפ_8340-14.csv
עפ_2933-19,weapon,csv/עפ_2933-19.csv
תפ_726-01-14,drugs,csv/תפ_726-01-14.csv
תפ_33806-01-16,weapon,csv/תפ_33806-01-16.csv
תפ_42413-01-20,drugs,csv/תפ_42413-01-20.csv
עפ_1238-19,weapon,csv/עפ_1238-19.csv
עפג_62780-11-15,weapon,csv/עפג_62780-11-15.csv
עפג_9036-02-23,weapon,csv/עפג_9036-02-23.csv
תפ_7236-05-22,drugs,csv/תפ_7236-05-22.csv
עפג_42358-10-14,weapon,csv/עפג_42358-10-14.csv
עפ_636-21,weapon,csv/עפ_636-21.csv
עפ_6277-14,weapon,csv/עפ_6277-14.csv
עפ_33947-10-17,weapon,csv/עפ_33947-10-17.csv
עפג_47767-06-14,weapon,csv/עפג_47767-06-14.csv
