A,B,n,delta,dz,wins,p,p_fdr,p_bonf,effect,sig_fdr,sig_bonf,domain,task,metric
Raw-Facts,Hybrid-Manual,11,-0.02629226714459455,-1.645441606214449,1,0.99951171875,1.0,1.0,Large,,,drugs,1,AP_PR
Raw-Facts,Hybrid-Full,11,-0.025770111575475544,-2.07274590914596,0,1.0,1.0,1.0,Large,,,drugs,1,AP_PR
Hybrid-Manual,Manual,11,-0.021971963809794322,-1.3950378532718144,0,1.0,1.0,1.0,Large,,,drugs,1,AP_PR
Hybrid-Manual,GPT-Schema,11,-0.00550780591836045,-0.31034448805566806,4,0.8173828125,0.980859375,1.0,Small,,,drugs,1,AP_PR
Hybrid-Manual,GPT-Free,11,0.023437257772058892,1.2399068150804693,10,0.00244140625,0.0048828125,0.0146484375,Large,✓,✓,drugs,1,AP_PR
Hybrid-Manual,GPT-Law,11,0.03371931424231393,1.574235634798458,10,0.00146484375,0.00439453125,0.0087890625,Large,✓,✓,drugs,1,AP_PR
Hybrid-Manual,Raw-Facts,11,0.02629226714459455,1.645441606214449,10,0.0009765625,0.00439453125,0.005859375,Large,✓,✓,drugs,1,AP_PR
Hybrid-Manual,Hybrid-Full,11,0.0005221555691190034,0.04529027547221021,6,0.41552734375,0.623291015625,1.0,Negligible,,,drugs,1,AP_PR
Hybrid-Full,Manual,11,-0.022494119378913324,-2.965550671515211,0,1.0,1.0,1.0,Large,,,drugs,1,AP_PR
Hybrid-Full,GPT-Schema,11,-0.006029961487479454,-0.7410948139326609,2,0.97900390625,1.0,1.0,Medium,,,drugs,1,AP_PR
Hybrid-Full,GPT-Free,11,0.022915102202939887,1.3165833615816434,10,0.0009765625,0.001953125,0.005859375,Large,✓,✓,drugs,1,AP_PR
Hybrid-Full,GPT-Law,11,0.03319715867319493,2.516630245509111,11,0.00048828125,0.00146484375,0.0029296875,Large,✓,✓,drugs,1,AP_PR
Hybrid-Full,Raw-Facts,11,0.025770111575475544,2.07274590914596,11,0.00048828125,0.00146484375,0.0029296875,Large,✓,✓,drugs,1,AP_PR
Hybrid-Full,Hybrid-Manual,11,-0.0005221555691190034,-0.04529027547221021,5,0.61767578125,0.926513671875,1.0,Negligible,,,drugs,1,AP_PR
Manual,GPT-Schema,11,0.02010897669805897,0.7673983105120058,9,0.01220703125,0.01220703125,0.0732421875,Medium,✓,,weapon,0,AP_PR
Manual,GPT-Free,11,0.09409630523359497,3.4619387339232133,11,0.00048828125,0.0009765625,0.0029296875,Large,✓,✓,weapon,0,AP_PR
Manual,GPT-Law,11,0.09389436492993135,2.1076459408088137,11,0.00048828125,0.0009765625,0.0029296875,Large,✓,✓,weapon,0,AP_PR
Manual,Raw-Facts,11,0.08571684310372012,1.5983447926387042,10,0.0009765625,0.00146484375,0.005859375,Large,✓,✓,weapon,0,AP_PR
Manual,Hybrid-Manual,11,0.024088146975616856,1.23052486737674,9,0.00244140625,0.0029296875,0.0146484375,Large,✓,✓,weapon,0,AP_PR
Manual,Hybrid-Full,11,0.043795649289905696,1.1302152011207562,11,0.00048828125,0.0009765625,0.0029296875,Large,✓,✓,weapon,0,AP_PR
GPT-Schema,Manual,11,-0.02010897669805897,-0.7673983105120058,2,0.99072265625,0.99072265625,1.0,Medium,,,weapon,0,AP_PR
GPT-Schema,GPT-Free,11,0.07398732853553598,2.3708989165235903,11,0.00048828125,0.00146484375,0.0029296875,Large,✓,✓,weapon,0,AP_PR
GPT-Schema,GPT-Law,11,0.07378538823187236,2.0599923601654804,11,0.00048828125,0.00146484375,0.0029296875,Large,✓,✓,weapon,0,AP_PR
GPT-Schema,Raw-Facts,11,0.06560786640566114,1.0753762189780605,9,0.0048828125,0.009765625,0.029296875,Large,✓,✓,weapon,0,AP_PR
GPT-Schema,Hybrid-Manual,11,0.003979170277557887,0.14625093393514685,6,0.28857421875,0.34628906249999997,1.0,Negligible,,,weapon,0,AP_PR
GPT-Schema,Hybrid-Full,11,0.023686672591846727,0.5856501303551284,7,0.0615234375,0.09228515625,0.369140625,Medium,,,weapon,0,AP_PR
GPT-Free,Manual,11,-0.09409630523359497,-3.4619387339232133,0,1.0,1.0,1.0,Large,,,weapon,0,AP_PR
GPT-Free,GPT-Schema,11,-0.07398732853553598,-2.3708989165235903,0,1.0,1.0,1.0,Large,,,weapon,0,AP_PR
GPT-Free,GPT-Law,11,-0.0002019403036636159,-0.0056895779030811874,5,0.58447265625,1.0,1.0,Negligible,,,weapon,0,AP_PR
GPT-Free,Raw-Facts,11,-0.008379462129874837,-0.180922638045017,3,0.79345703125,1.0,1.0,Negligible,,,weapon,0,AP_PR
GPT-Free,Hybrid-Manual,11,-0.0700081582579781,-1.813355462788185,0,1.0,1.0,1.0,Large,,,weapon,0,AP_PR
GPT-Free,Hybrid-Full,11,-0.05030065594368926,-1.2791479887182993,1,0.99853515625,1.0,1.0,Large,,,weapon,0,AP_PR
GPT-Law,Manual,11,-0.09389436492993135,-2.1076459408088137,0,1.0,1.0,1.0,Large,,,weapon,0,AP_PR
GPT-Law,GPT-Schema,11,-0.07378538823187236,-2.0599923601654804,0,1.0,1.0,1.0,Large,,,weapon,0,AP_PR
GPT-Law,GPT-Free,11,0.0002019403036636159,0.0056895779030811874,6,0.44921875,1.0,1.0,Negligible,,,weapon,0,AP_PR
GPT-Law,Raw-Facts,11,-0.008177521826211221,-0.176275807131779,4,0.740234375,1.0,1.0,Negligible,,,weapon,0,AP_PR
GPT-Law,Hybrid-Manual,11,-0.06980621795431448,-1.3499058285484633,1,0.9990234375,1.0,1.0,Large,,,weapon,0,AP_PR
GPT-Law,Hybrid-Full,11,-0.05009871564002564,-1.1839496507037193,2,0.99658203125,1.0,1.0,Large,,,weapon,0,AP_PR
Raw-Facts,Manual,11,-0.08571684310372012,-1.5983447926387042,1,0.99951171875,0.99951171875,1.0,Large,,,weapon,0,AP_PR
Raw-Facts,GPT-Schema,11,-0.06560786640566114,-1.0753762189780605,2,0.99658203125,0.99951171875,1.0,Large,,,weapon,0,AP_PR
Raw-Facts,GPT-Free,11,0.008379462129874837,0.180922638045017,8,0.232421875,0.86572265625,1.0,Negligible,,,weapon,0,AP_PR
Raw-Facts,GPT-Law,11,0.008177521826211221,0.176275807131779,7,0.28857421875,0.86572265625,1.0,Negligible,,,weapon,0,AP_PR
Raw-Facts,Hybrid-Manual,11,-0.06162869612810326,-0.9394530729024192,2,0.9931640625,0.99951171875,1.0,Large,,,weapon,0,AP_PR
Raw-Facts,Hybrid-Full,11,-0.04192119381381442,-0.8230144152486751,2,0.9931640625,0.99951171875,1.0,Large,,,weapon,0,AP_PR
Hybrid-Manual,Manual,11,-0.024088146975616856,-1.23052486737674,2,0.99853515625,0.99853515625,1.0,Large,,,weapon,0,AP_PR
Hybrid-Manual,GPT-Schema,11,-0.003979170277557887,-0.14625093393514685,5,0.740234375,0.8882812499999999,1.0,Negligible,,,weapon,0,AP_PR
Hybrid-Manual,GPT-Free,11,0.0700081582579781,1.813355462788185,11,0.00048828125,0.0029296875,0.0029296875,Large,✓,✓,weapon,0,AP_PR
Hybrid-Manual,GPT-Law,11,0.06980621795431448,1.3499058285484633,10,0.00146484375,0.00439453125,0.0087890625,Large,✓,✓,weapon,0,AP_PR
Hybrid-Manual,Raw-Facts,11,0.06162869612810326,0.9394530729024192,9,0.00927734375,0.0185546875,0.0556640625,Large,✓,,weapon,0,AP_PR
Hybrid-Manual,Hybrid-Full,11,0.01970750231428884,0.47971574863077476,8,0.08740234375,0.131103515625,0.5244140625,Small,,,weapon,0,AP_PR
Hybrid-Full,Manual,11,-0.043795649289905696,-1.1302152011207562,0,1.0,1.0,1.0,Large,,,weapon,0,AP_PR
Hybrid-Full,GPT-Schema,11,-0.023686672591846727,-0.5856501303551284,4,0.94921875,1.0,1.0,Medium,,,weapon,0,AP_PR
Hybrid-Full,GPT-Free,11,0.05030065594368926,1.2791479887182993,10,0.00244140625,0.0146484375,0.0146484375,Large,✓,✓,weapon,0,AP_PR
Hybrid-Full,GPT-Law,11,0.05009871564002564,1.1839496507037193,9,0.0048828125,0.0146484375,0.029296875,Large,✓,✓,weapon,0,AP_PR
Hybrid-Full,Raw-Facts,11,0.04192119381381442,0.8230144152486751,9,0.00927734375,0.0185546875,0.0556640625,Large,✓,,weapon,0,AP_PR
Hybrid-Full,Hybrid-Manual,11,-0.01970750231428884,-0.47971574863077476,3,0.92626953125,1.0,1.0,Small,,,weapon,0,AP_PR
Manual,GPT-Schema,11,0.01928068195784431,0.8547388855880287,10,0.00244140625,0.003662109375,0.0146484375,Large,✓,✓,weapon,1,AP_PR
Manual,GPT-Free,11,0.033709504305077284,1.0775928304623101,10,0.0048828125,0.005859375,0.029296875,Large,✓,✓,weapon,1,AP_PR
Manual,GPT-Law,11,0.05095838304178768,1.927813862616143,10,0.0009765625,0.0029296875,0.005859375,Large,✓,✓,weapon,1,AP_PR
Manual,Raw-Facts,11,0.05224932400715217,1.3874984251817646,9,0.00244140625,0.003662109375,0.0146484375,Large,✓,✓,weapon,1,AP_PR
Manual,Hybrid-Manual,11,0.022286077862577323,1.5203980296420794,11,0.00048828125,0.0029296875,0.0029296875,Large,✓,✓,weapon,1,AP_PR
Manual,Hybrid-Full,11,0.012569705366271434,0.7178446708045046,9,0.02099609375,0.02099609375,0.1259765625,Medium,✓,,weapon,1,AP_PR
GPT-Schema,Manual,11,-0.01928068195784431,-0.8547388855880287,1,0.99853515625,0.99853515625,1.0,Large,,,weapon,1,AP_PR
GPT-Schema,GPT-Free,11,0.014428822347232972,0.3742695063702693,8,0.1826171875,0.365234375,1.0,Small,,,weapon,1,AP_PR
GPT-Schema,GPT-Law,11,0.03167770108394337,1.0685592739566414,9,0.0048828125,0.029296875,0.029296875,Large,✓,✓,weapon,1,AP_PR
GPT-Schema,Raw-Facts,11,0.032968642049307856,0.6257833251982007,9,0.05078125,0.15234375,0.3046875,Medium,,,weapon,1,AP_PR
GPT-Schema,Hybrid-Manual,11,0.003005395904733012,0.12224654405361209,6,0.28857421875,0.432861328125,1.0,Negligible,,,weapon,1,AP_PR
GPT-Schema,Hybrid-Full,11,-0.006710976591572876,-0.21641502833954818,4,0.71142578125,0.8537109374999999,1.0,Small,,,weapon,1,AP_PR
GPT-Free,Manual,11,-0.033709504305077284,-1.0775928304623101,1,0.99658203125,0.99658203125,1.0,Large,,,weapon,1,AP_PR
GPT-Free,GPT-Schema,11,-0.014428822347232972,-0.3742695063702693,3,0.83984375,0.99658203125,1.0,Small,,,weapon,1,AP_PR
GPT-Free,GPT-Law,11,0.017248878736710396,1.194961786475767,10,0.00244140625,0.0146484375,0.0146484375,Large,✓,✓,weapon,1,AP_PR
GPT-Free,Raw-Facts,11,0.018539819702074887,0.6252201789434659,8,0.05078125,0.15234375,0.3046875,Medium,,,weapon,1,AP_PR
GPT-Free,Hybrid-Manual,11,-0.01142342644249996,-0.40463816034455763,3,0.94921875,0.99658203125,1.0,Small,,,weapon,1,AP_PR
GPT-Free,Hybrid-Full,11,-0.02113979893880585,-0.8476939535667898,3,0.9931640625,0.99658203125,1.0,Large,,,weapon,1,AP_PR
GPT-Law,Manual,11,-0.05095838304178768,-1.927813862616143,1,0.99951171875,1.0,1.0,Large,,,weapon,1,AP_PR
GPT-Law,GPT-Schema,11,-0.03167770108394337,-1.0685592739566414,2,0.99658203125,1.0,1.0,Large,,,weapon,1,AP_PR
GPT-Law,GPT-Free,11,-0.017248878736710396,-1.194961786475767,1,0.99853515625,1.0,1.0,Large,,,weapon,1,AP_PR
GPT-Law,Raw-Facts,11,0.0012909409653644884,0.0344804443224416,6,0.48291015625,1.0,1.0,Negligible,,,weapon,1,AP_PR
GPT-Law,Hybrid-Manual,11,-0.028672305179210357,-1.310179788997381,1,0.99755859375,1.0,1.0,Large,,,weapon,1,AP_PR
GPT-Law,Hybrid-Full,11,-0.03838867767551624,-1.6172744599444513,0,1.0,1.0,1.0,Large,,,weapon,1,AP_PR
Raw-Facts,Manual,11,-0.05224932400715217,-1.3874984251817646,2,0.99853515625,0.99853515625,1.0,Large,,,weapon,1,AP_PR
Raw-Facts,GPT-Schema,11,-0.032968642049307856,-0.6257833251982007,2,0.95849609375,0.99853515625,1.0,Medium,,,weapon,1,AP_PR
Raw-Facts,GPT-Free,11,-0.018539819702074887,-0.6252201789434659,3,0.95849609375,0.99853515625,1.0,Medium,,,weapon,1,AP_PR
Raw-Facts,GPT-Law,11,-0.0012909409653644884,-0.0344804443224416,5,0.55078125,0.99853515625,1.0,Negligible,,,weapon,1,AP_PR
