A,B,n,delta,dz,wins,p,p_fdr,p_bonf,effect,sig_fdr,sig_bonf,domain,metric
Raw-Facts,Hybrid-Full,11,-0.04190642338684653,-0.5716276978286646,3,0.96630859375,0.99755859375,1.0,Medium,,,weapon,QWK_LOO
Hybrid-Manual,Manual,11,-0.05976726100661627,-0.846539206165363,2,0.99853515625,0.99853515625,1.0,Large,,,weapon,QWK_LOO
Hybrid-Manual,GPT-Schema,11,-0.007401230519842831,-0.12476435221984163,6,0.61767578125,0.7412109375,1.0,Negligible,,,weapon,QWK_LOO
Hybrid-Manual,GPT-Free,11,0.025124128868418326,0.2860107386987728,7,0.16015625,0.3203125,0.9609375,Small,,,weapon,QWK_LOO
Hybrid-Manual,GPT-Law,11,0.03514329510481012,0.47019851744257735,7,0.10302734375,0.3203125,0.6181640625,Small,,,weapon,QWK_LOO
Hybrid-Manual,Raw-Facts,11,0.03244699551644667,0.27520402998532195,8,0.1201171875,0.3203125,0.720703125,Small,,,weapon,QWK_LOO
Hybrid-Manual,Hybrid-Full,11,-0.009459427870399863,-0.10512948320414499,6,0.38232421875,0.573486328125,1.0,Negligible,,,weapon,QWK_LOO
Hybrid-Full,Manual,11,-0.05030783313621641,-0.9393519941242303,3,0.98779296875,0.98779296875,1.0,Large,,,weapon,QWK_LOO
Hybrid-Full,GPT-Schema,11,0.002058197350557032,0.031142333586122905,6,0.41552734375,0.623291015625,1.0,Negligible,,,weapon,QWK_LOO
Hybrid-Full,GPT-Free,11,0.03458355673881819,1.160965891943939,10,0.0009765625,0.005859375,0.005859375,Large,✓,✓,weapon,QWK_LOO
Hybrid-Full,GPT-Law,11,0.04460272297520998,0.5524129404903624,9,0.0615234375,0.123046875,0.369140625,Medium,,,weapon,QWK_LOO
Hybrid-Full,Raw-Facts,11,0.04190642338684653,0.5716276978286646,8,0.04150390625,0.123046875,0.2490234375,Medium,,,weapon,QWK_LOO
Hybrid-Full,Hybrid-Manual,11,0.009459427870399863,0.10512948320414499,5,0.64990234375,0.7798828124999999,1.0,Negligible,,,weapon,QWK_LOO
