domain,rep,model,task,F1,AP_PR
drugs,GPT-Law,qwen3_235b,0,0.8481651681651682,0.8974768961741827
drugs,GPT-Law,qwen3_235b,1,0.7728851540616246,0.8764758150379135
drugs,GPT-Law,qwen_hf,0,0.7889255189255189,0.8943571185537531
drugs,GPT-Law,qwen_hf,1,0.7209803921568627,0.8601603120060908
drugs,Raw-Facts,gpt4,0,0.8609523809523809,0.8860496964518647
drugs,Raw-Facts,gpt4,1,0.7558532695374801,0.868547434547384
drugs,Raw-Facts,gpt5mini,0,0.8597402597402597,0.95843663805578
drugs,Raw-Facts,gpt5mini,1,0.7513725490196078,0.8867759359561036
drugs,Raw-Facts,gpt52,0,0.8361904761904763,0.9256306963136232
drugs,Raw-Facts,gpt52,1,0.7800083542188805,0.8936881396832617
drugs,Raw-Facts,gpt51_thinking,0,0.8813186813186812,0.9216325295255404
drugs,Raw-Facts,gpt51_thinking,1,0.7876470588235295,0.8801445945199855
drugs,Raw-Facts,claude_sonnet_4_6,0,0.8150000000000001,0.9113787265521539
drugs,Raw-Facts,claude_sonnet_4_6,1,0.8191950464396285,0.8891211643806751
drugs,Raw-Facts,gemini_25_pro,0,0.8414652014652015,0.8891657154704136
drugs,Raw-Facts,gemini_25_pro,1,0.7823099415204677,0.8469978500033256
drugs,Raw-Facts,gemini_3_flash,0,0.8876190476190476,0.8936727063435137
drugs,Raw-Facts,gemini_3_flash,1,0.7913725490196079,0.8799124519810768
drugs,Raw-Facts,gemma3_27b,0,0.7866310160427807,0.8821982745387
drugs,Raw-Facts,gemma3_27b,1,0.7908072319837026,0.8639446939003678
drugs,Raw-Facts,llama3_70b,0,0.8226050420168068,0.8708907199057807
drugs,Raw-Facts,llama3_70b,1,0.7510845741805494,0.8229220973258601
drugs,Raw-Facts,qwen3_235b,0,0.8338461538461539,0.8907909817062961
drugs,Raw-Facts,qwen3_235b,1,0.7782562466772993,0.8685672413398374
drugs,Raw-Facts,qwen_hf,0,0.8028431372549021,0.8564272668497912
drugs,Raw-Facts,qwen_hf,1,0.8075972540045766,0.8497127431686308
drugs,Hybrid-Manual,gpt4,0,0.8785520361990949,0.9520180434708833
drugs,Hybrid-Manual,gpt4,1,0.7987772461456673,0.91860246986051
drugs,Hybrid-Manual,gpt5mini,0,0.8128011204481792,0.9459488116429433
drugs,Hybrid-Manual,gpt5mini,1,0.8051515151515151,0.91540061977951
drugs,Hybrid-Manual,gpt52,0,0.8300366300366301,0.9479896242191326
drugs,Hybrid-Manual,gpt52,1,0.8055417956656346,0.9134104693507119
drugs,Hybrid-Manual,gpt51_thinking,0,0.8813186813186812,0.9440024953103056
drugs,Hybrid-Manual,gpt51_thinking,1,0.7658479532163742,0.8970058044732779
drugs,Hybrid-Manual,claude_sonnet_4_6,0,0.8606593406593406,0.9635395788766283
drugs,Hybrid-Manual,claude_sonnet_4_6,1,0.7500449842555106,0.9120831300898344
drugs,Hybrid-Manual,gemini_25_pro,0,0.8693212669683257,0.8982796480874744
drugs,Hybrid-Manual,gemini_25_pro,1,0.7538461538461538,0.8922795424912511
drugs,Hybrid-Manual,gemini_3_flash,0,0.8107142857142857,0.9270964981932465
drugs,Hybrid-Manual,gemini_3_flash,1,0.8250233426704014,0.8992022775736601
drugs,Hybrid-Manual,gemma3_27b,0,0.883095238095238,0.9242504409171075
drugs,Hybrid-Manual,gemma3_27b,1,0.7594387037111495,0.8801906683123407
drugs,Hybrid-Manual,llama3_70b,0,0.8693212669683257,0.9253240458271973
drugs,Hybrid-Manual,llama3_70b,1,0.7668713450292397,0.8593245315427285
drugs,Hybrid-Manual,qwen3_235b,0,0.8583699633699634,0.940787985413601
drugs,Hybrid-Manual,qwen3_235b,1,0.8121517697988286,0.882871119211746
drugs,Hybrid-Manual,qwen_hf,0,0.893095238095238,0.9451306225571464
drugs,Hybrid-Manual,qwen_hf,1,0.8324250912486206,0.9062862447080661
drugs,Hybrid-Full,gpt4,0,0.8037362637362637,0.9264477995531346
drugs,Hybrid-Full,gpt4,1,0.8196992481203008,0.8890026476719204
drugs,Hybrid-Full,gpt5mini,0,0.8398190045248869,0.9373146915402555
drugs,Hybrid-Full,gpt5mini,1,0.7767113863089096,0.8857864487689828
drugs,Hybrid-Full,gpt52,0,0.9120879120879121,0.9631152106853555
drugs,Hybrid-Full,gpt52,1,0.8252614379084967,0.9170447876238537
drugs,Hybrid-Full,gpt51_thinking,0,0.8611721611721611,0.9493440563268151
drugs,Hybrid-Full,gpt51_thinking,1,0.8357393483709273,0.9088008803282307
drugs,Hybrid-Full,claude_sonnet_4_6,0,0.8738461538461539,0.9719009527394621
drugs,Hybrid-Full,claude_sonnet_4_6,1,0.8216040100250627,0.9077371602548996
drugs,Hybrid-Full,gemini_25_pro,0,0.8539915966386555,0.9112699428628468
drugs,Hybrid-Full,gemini_25_pro,1,0.786329549363605,0.860247153344175
drugs,Hybrid-Full,gemini_3_flash,0,0.8739010989010989,0.9514023029527489
drugs,Hybrid-Full,gemini_3_flash,1,0.8070960008717446,0.8944526963773876
drugs,Hybrid-Full,gemma3_27b,0,0.8768922305764411,0.89701540436457
drugs,Hybrid-Full,gemma3_27b,1,0.7830398246255024,0.8682626250451262
drugs,Hybrid-Full,llama3_70b,0,0.8533333333333333,0.8671815408085431
