A,B,n,delta,dz,wins,p,p_fdr,p_bonf,effect,sig_fdr,sig_bonf,domain,task,metric
Hybrid-Full,Raw-Facts,11,-0.0007256424113050972,-0.02076908878016634,7,0.384765625,0.673828125,1.0,Negligible,,,drugs,1,F1_CV
Hybrid-Full,Hybrid-Manual,11,0.0021260118503059807,0.06120504529981776,5,0.44921875,0.673828125,1.0,Negligible,,,drugs,1,F1_CV
Manual,GPT-Schema,11,0.02860236819216535,0.6550612802571144,7,0.03369140625,0.0404296875,0.2021484375,Medium,✓,,weapon,0,F1_CV
Manual,GPT-Free,11,0.06334834962783677,1.2510803692718813,10,0.00244140625,0.0146484375,0.0146484375,Large,✓,✓,weapon,0,F1_CV
Manual,GPT-Law,11,0.053148813752882426,0.9593675208613922,10,0.0068359375,0.0205078125,0.041015625,Large,✓,✓,weapon,0,F1_CV
Manual,Raw-Facts,11,0.044415931236195964,0.5777704013934469,9,0.02685546875,0.040283203125,0.1611328125,Medium,✓,,weapon,0,F1_CV
Manual,Hybrid-Manual,11,0.03668520317433099,0.6367192991569007,7,0.02099609375,0.040283203125,0.1259765625,Medium,✓,,weapon,0,F1_CV
Manual,Hybrid-Full,11,0.023391408037996695,0.5521982185246191,6,0.08740234375,0.08740234375,0.5244140625,Medium,,,weapon,0,F1_CV
GPT-Schema,Manual,11,-0.02860236819216535,-0.6550612802571144,4,0.97314453125,0.97314453125,1.0,Medium,,,weapon,0,F1_CV
GPT-Schema,GPT-Free,11,0.03474598143567142,1.0675411156905439,10,0.00341796875,0.0205078125,0.0205078125,Large,✓,✓,weapon,0,F1_CV
GPT-Schema,GPT-Law,11,0.024546445560717077,0.6515070063446015,7,0.04150390625,0.12451171875,0.2490234375,Medium,,,weapon,0,F1_CV
GPT-Schema,Raw-Facts,11,0.01581356304403062,0.2894452729272435,8,0.1201171875,0.240234375,0.720703125,Small,,,weapon,0,F1_CV
GPT-Schema,Hybrid-Manual,11,0.008082834982165636,0.12614281204140407,4,0.5,0.7013671874999999,1.0,Negligible,,,weapon,0,F1_CV
GPT-Schema,Hybrid-Full,11,-0.005210960154168654,-0.13108527743725082,6,0.58447265625,0.7013671874999999,1.0,Negligible,,,weapon,0,F1_CV
GPT-Free,Manual,11,-0.06334834962783677,-1.2510803692718813,1,0.99853515625,0.99853515625,1.0,Large,,,weapon,0,F1_CV
GPT-Free,GPT-Schema,11,-0.03474598143567142,-1.0675411156905439,1,0.99755859375,0.99853515625,1.0,Large,,,weapon,0,F1_CV
GPT-Free,GPT-Law,11,-0.010199535874954339,-0.22872463297516657,4,0.740234375,0.99853515625,1.0,Small,,,weapon,0,F1_CV
