query,domain,fold,year,method,err_lo,err_hi
תפ_16097-08-21,drugs,1,2021.0,sup_llm,3.0,3.0
תפ_16097-08-21,drugs,1,2021.0,llm_best,0.0,2.0
תפ_16097-08-21,drugs,1,2021.0,tfidf_ridge,5.0596785377653894,8.903622029875287
תפ_16097-08-21,drugs,1,2021.0,bm25,3.0,0.5
תפ_16097-08-21,drugs,1,2021.0,offense_matched_random,12.0,22.0
תפ_49510-11-23,drugs,1,2023.0,global_median,21.0,36.0
תפ_49510-11-23,drugs,1,2023.0,random_llm,13.5,25.0
תפ_49510-11-23,drugs,1,2023.0,citation_llm,10.0,24.0
תפ_49510-11-23,drugs,1,2023.0,sup_only,14.0,24.0
תפ_49510-11-23,drugs,1,2023.0,sup_llm,13.0,24.0
תפ_49510-11-23,drugs,1,2023.0,llm_best,8.0,19.0
תפ_49510-11-23,drugs,1,2023.0,tfidf_ridge,16.5568519889647,30.527392755588675
תפ_49510-11-23,drugs,1,2023.0,bm25,19.0,33.0
תפ_49510-11-23,drugs,1,2023.0,offense_matched_random,23.0,39.0
תפ_55372-10-17,drugs,1,2017.0,global_median,3.0,6.0
תפ_55372-10-17,drugs,1,2017.0,random_llm,3.0,7.5
תפ_55372-10-17,drugs,1,2017.0,citation_llm,0.0,4.0
תפ_55372-10-17,drugs,1,2017.0,sup_only,0.0,0.5
תפ_55372-10-17,drugs,1,2017.0,sup_llm,0.0,0.0
תפ_55372-10-17,drugs,1,2017.0,llm_best,2.5,4.0
תפ_55372-10-17,drugs,1,2017.0,tfidf_ridge,6.6211366028778045,11.12359110578992
תפ_55372-10-17,drugs,1,2017.0,bm25,2.0,6.0
תפ_55372-10-17,drugs,1,2017.0,offense_matched_random,4.0,6.0
תפ_60484-03-22,drugs,1,2022.0,global_median,33.0,41.0
תפ_60484-03-22,drugs,1,2022.0,random_llm,9.0,5.0
תפ_60484-03-22,drugs,1,2022.0,citation_llm,14.5,8.0
תפ_60484-03-22,drugs,1,2022.0,sup_only,12.0,5.0
תפ_60484-03-22,drugs,1,2022.0,sup_llm,11.0,6.0
תפ_60484-03-22,drugs,1,2022.0,llm_best,13.5,7.0
תפ_60484-03-22,drugs,1,2022.0,tfidf_ridge,23.20621991574568,26.983110614760015
תפ_60484-03-22,drugs,1,2022.0,bm25,20.0,21.0
תפ_60484-03-22,drugs,1,2022.0,offense_matched_random,24.0,29.0
