sweep,filter,domain,K,n_total,n_pred,coverage,mae_lo,mae_hi
K,random_llm,drugs,5,2713,2554,0.9413932915591596,6.704385277995302,10.712411902897415
K,random_llm,weapon,5,1719,1700,0.9889470622454916,14.502647058823529,21.387941176470587
K,random_llm,drugs,10,2713,2554,0.9413932915591596,6.695184025058731,10.715740015661707
K,random_llm,weapon,10,1719,1700,0.9889470622454916,14.563823529411765,21.456764705882353
K,random_llm,drugs,15,2713,2554,0.9413932915591596,6.699099451840251,10.726311667971808
K,random_llm,weapon,15,1719,1700,0.9889470622454916,14.62205882352941,21.445588235294117
K,random_llm,drugs,20,2713,2554,0.9413932915591596,6.700469851213782,10.731205951448707
K,random_llm,weapon,20,1719,1700,0.9889470622454916,14.622941176470588,21.466176470588234
K,random_llm,drugs,30,2713,2554,0.9413932915591596,6.700469851213782,10.731205951448707
K,random_llm,weapon,30,1719,1700,0.9889470622454916,14.623529411764705,21.466176470588234
K,random_llm,drugs,50,2713,2554,0.9413932915591596,6.700469851213782,10.731205951448707
K,random_llm,weapon,50,1719,1700,0.9889470622454916,14.623529411764705,21.466176470588234
K,citation_all,drugs,1,2713,2352,0.8669369701437523,11.87797619047619,20.2453231292517
K,citation_all,weapon,1,1719,1630,0.9482257126236184,28.946625766871165,48.144171779141104
K,citation_all,drugs,3,2713,2352,0.8669369701437523,8.176658163265307,13.052295918367347
K,citation_all,weapon,3,1719,1630,0.9482257126236184,19.78128834355828,29.72883435582822
K,citation_all,drugs,5,2713,2352,0.8669369701437523,7.35969387755102,11.368835034013605
K,citation_all,weapon,5,1719,1630,0.9482257126236184,17.50644171779141,25.91319018404908
K,citation_all,drugs,10,2713,2352,0.8669369701437523,6.6232993197278915,10.175382653061224
K,citation_all,weapon,10,1719,1630,0.9482257126236184,15.93957055214724,23.408895705521473
K,citation_all,drugs,15,2713,2352,0.8669369701437523,6.263392857142857,9.615433673469388
K,citation_all,weapon,15,1719,1630,0.9482257126236184,15.20521472392638,22.46840490797546
K,citation_all,drugs,20,2713,2352,0.8669369701437523,6.151998299319728,9.50233843537415
K,citation_all,weapon,20,1719,1630,0.9482257126236184,14.874846625766871,21.925460122699388
K,citation_all,drugs,30,2713,2352,0.8669369701437523,6.08609693877551,9.342687074829932
