v1,v2,domain,cit_type,d_lo,d_hi
תפ_43084-09-20,תפ_59971-01-17,drugs,cocite,6.0,0.0
תפ_40922-11-15,תפ_42697-05-18,weapon,cocite,4.0,12.0
תפ_13236-03-18,תפ_2599-09-17,drugs,cocite,24.0,48.0
תפ_19610-08-21,תפ_46379-02-21,weapon,cocite,6.0,0.0
תפ_12325-09-15,תפ_64303-01-22,weapon,2hop,2.0,2.0
תפ_50148-01-14,תפ_9179-04-16,weapon,cocite,57.0,72.0
תפ_40011-04-14,תפ_70111-03-23,weapon,cocite,43.0,35.0
תפ_15392-04-17,תפ_32174-07-20,drugs,cocite,21.0,18.0
תפ_29529-07-20,תפ_68529-11-21,weapon,"1hop,cocite",18.0,32.0
תפ_12406-11-15,תפ_45465-11-15,weapon,cocite,6.0,24.0
תפ_1847-05-14,תפ_1956-04-21,weapon,cocite,28.0,12.0
תפ_16779-09-22,תפ_40983-10-20,weapon,cocite,4.0,2.0
תפ_12540-12-18,תפ_20307-05-20,weapon,cocite,4.0,12.0
תפ_24896-04-20,תפ_35007-04-13,weapon,2hop,7.0,6.0
תפ_18957-11-20,תפ_31218-10-14,weapon,cocite,4.0,10.0
תפח_24510-09-15,תפח_34398-05-11,weapon,cocite,18.0,48.0
תפ_16209-03-13,תפ_8123-04-14,drugs,1hop,6.0,12.0
תפ_31811-03-21,תפ_53539-11-17,weapon,cocite,12.0,22.0
תפ_26702-01-23,תפ_8333-11-20,weapon,cocite,30.0,48.0
תפ_57267-09-20,תפ_57526-07-21,weapon,cocite,12.0,10.0
תפ_13142-02-15,תפ_20733-12-22,weapon,cocite,34.0,42.0
תפ_17474-08-14,תפ_17919-01-15,weapon,cocite,0.0,0.0
תפ_25546-11-23,תפ_58027-12-21,weapon,cocite,10.0,10.0
תפ_16420-10-16,תפ_28332-02-21,weapon,2hop,54.0,72.0
תפ_32339-12-19,תפ_46379-02-21,weapon,cocite,10.0,0.0
תפ_1136-11-21,תפ_17137-11-21,weapon,cocite,15.0,20.0
תפ_11789-12-16,תפ_3686-01-16,weapon,cocite,2.0,0.0
תפ_16760-09-22,תפ_16996-08-12,weapon,cocite,10.0,21.0
תפ_18957-11-20,תפ_27929-03-19,weapon,cocite,3.0,6.0
תפ_14044-03-20,תפ_7626-04-20,weapon,cocite,9.0,12.0
תפ_10650-11-21,תפ_19908-10-21,weapon,cocite,6.0,6.0
עפ_6029-03,תפ_47757-02-18,drugs,"1hop,cocite",26.0,40.0
תפ_36982-03-18,תפ_39183-11-13,weapon,cocite,12.0,12.0
תפ_16651-01-24,תפ_61820-08-21,weapon,cocite,45.0,60.0
תפ_48983-06-18,תפ_50860-02-20,drugs,cocite,0.0,6.0
תפ_41762-12-20,תפ_45713-07-17,weapon,cocite,12.0,18.0
תפ_70166-03-23,תפח_39094-05-12,weapon,cocite,174.0,222.0
תפ_52165-12-17,תפ_6749-09-22,drugs,cocite,0.0,12.0
תפ_33928-09-12,תפ_68389-07-20,weapon,cocite,11.0,22.0
תפ_4734-12-22,תפ_66893-12-21,weapon,cocite,12.0,42.0
